name,href,dob
Caitlin Gould,https://en.wikipedia.org//w/index.php?title=Caitlin_Gould&action=edit&redlink=1,NA
Eloise Jones,https://en.wikipedia.org//wiki/Eloise_Jones_(footballer),1999-04-28
Angela Foley,https://en.wikipedia.org//wiki/Angela_Foley,1988-12-13
Chloe Scheer,https://en.wikipedia.org//wiki/Chloe_Scheer,1999-09-07
Courtney Gum,https://en.wikipedia.org//wiki/Courtney_Gum,1981-09-25
Hannah Button,https://en.wikipedia.org//wiki/Hannah_Button,1996-11-27
Nikki Gore,https://en.wikipedia.org//wiki/Nikki_Gore,2000-12-11
Najwa Allen,https://en.wikipedia.org//w/index.php?title=Najwa_Allen&action=edit&redlink=1,NA
Deni Varnhagen,https://en.wikipedia.org//wiki/Deni_Varnhagen,1992-10-26
Ebony Marinoff,https://en.wikipedia.org//wiki/Ebony_Marinoff,1997-11-15
Rhiannon Metcalfe,https://en.wikipedia.org//wiki/Rhiannon_Metcalfe,1991-09-27
Chelsea Biddell,https://en.wikipedia.org//w/index.php?title=Chelsea_Biddell&action=edit&redlink=1,NA
Erin Phillips,https://en.wikipedia.org//wiki/Erin_Phillips,1985-05-19
Stevie-Lee Thompson,https://en.wikipedia.org//wiki/Stevie-Lee_Thompson,1992-03-23
Danielle Ponter,https://en.wikipedia.org//wiki/Danielle_Ponter,2000-01-08
Madison Newman,https://en.wikipedia.org//w/index.php?title=Madison_Newman&action=edit&redlink=1,NA
Ruth Wallace,https://en.wikipedia.org//wiki/Ruth_Wallace,1993-02-01
Sophie Li,https://en.wikipedia.org//wiki/Sophie_Li,1988-03-31
Nicole Campbell,https://en.wikipedia.org//w/index.php?title=Nicole_Campbell&action=edit&redlink=1,NA
Montana McKinnon,https://en.wikipedia.org//w/index.php?title=Montana_McKinnon&action=edit&redlink=1,NA
Courtney Cramey,https://en.wikipedia.org//wiki/Courtney_Cramey,1985-11-28
Justine Mules,https://en.wikipedia.org//wiki/Justine_Mules,1994-12-15
Jess Foley,https://en.wikipedia.org//wiki/Jess_Foley_(sportswoman),1983-04-20
Chelsea Randall,https://en.wikipedia.org//wiki/Chelsea_Randall,1991-06-14
Renee Forth,https://en.wikipedia.org//wiki/Renee_Forth,1987-01-28
Jaimi Tabb,https://en.wikipedia.org//w/index.php?title=Jaimi_Tabb&action=edit&redlink=1,NA
Dayna Cox,https://en.wikipedia.org//wiki/Dayna_Cox,1993-08-12
Marijana Rajcic,https://en.wikipedia.org//wiki/Marijana_Rajcic,1989-03-15
Anne Hatchard,https://en.wikipedia.org//wiki/Anne_Hatchard,1998-03-07
Sarah Allan,https://en.wikipedia.org//wiki/Sarah_Allan_(footballer),1997-11-19
Ailish Considine,https://en.wikipedia.org//wiki/Ailish_Considine,1992-07-09
Maisie Nankivell,https://en.wikipedia.org//wiki/Maisie_Nankivell,1999-09-29
Rachelle Martin,https://en.wikipedia.org//w/index.php?title=Rachelle_Martin&action=edit&redlink=1,NA
Czenya Cavouras,https://en.wikipedia.org//w/index.php?title=Czenya_Cavouras&action=edit&redlink=1,NA
Emily Bates,https://en.wikipedia.org//wiki/Emily_Bates,1995-10-18
Jordan Zanchetta,https://en.wikipedia.org//wiki/Jordan_Zanchetta,1995-03-18
Breanna Koenen,https://en.wikipedia.org//wiki/Breanna_Koenen,1994-12-31
Sharni Webb,https://en.wikipedia.org//wiki/Sharni_Webb,1991-07-14
Jade Ellenger,https://en.wikipedia.org//wiki/Jade_Ellenger,2000-03-04
Lily Postlethwaite,https://en.wikipedia.org//wiki/Lily_Postlethwaite,2001-10-21
Gabby Collingwood,https://en.wikipedia.org//wiki/Gabby_Collingwood,1999-01-15
Emma Zielke,https://en.wikipedia.org//wiki/Emma_Zielke,1988-04-19
Nat Grider,https://en.wikipedia.org//wiki/Nat_Grider,2000-10-10
Rheanne Lugg,https://en.wikipedia.org//wiki/Rheanne_Lugg,1990-02-22
Sophie Conway,https://en.wikipedia.org//wiki/Sophie_Conway,1999-04-06
Kate Lutkins,https://en.wikipedia.org//wiki/Kate_Lutkins,1988-05-31
Dakota Davidson,https://en.wikipedia.org//wiki/Dakota_Davidson,1998-12-31
Lauren Arnell,https://en.wikipedia.org//wiki/Lauren_Arnell,1987-03-15
Isabel Dawes,https://en.wikipedia.org//wiki/Isabel_Dawes,2001-05-11
Ally Anderson,https://en.wikipedia.org//wiki/Ally_Anderson,1996-08-15
Selina Priest,https://en.wikipedia.org//wiki/Selina_Priest,1996-01-11
Shannon Campbell,https://en.wikipedia.org//wiki/Shannon_Campbell,1996-09-24
Arianna Clarke,https://en.wikipedia.org//wiki/Arianna_Clarke,1999-08-16
Jess Wuetschner,https://en.wikipedia.org//wiki/Jess_Wuetschner,1992-04-28
Tahlia Hickie,https://en.wikipedia.org//w/index.php?title=Tahlia_Hickie&action=edit&redlink=1,NA
Cathy Svarc,https://en.wikipedia.org//wiki/Cathy_Svarc,1991-11-25
Lucy Bellinger,https://en.wikipedia.org//w/index.php?title=Lucy_Bellinger&action=edit&redlink=1,NA
Jessy Keeffe,https://en.wikipedia.org//wiki/Jessy_Keeffe,1996-07-17
Maria Moloney,https://en.wikipedia.org//wiki/Maria_Moloney,1995-03-29
Hannah Hillman,https://en.wikipedia.org//w/index.php?title=Hannah_Hillman&action=edit&redlink=1,NA
Jesse Wardlaw,https://en.wikipedia.org//wiki/Jesse_Wardlaw,2000-01-13
Orla O'Dwyer,https://en.wikipedia.org//wiki/Orla_O%27Dwyer,1998-07-15
Greta Bodey,https://en.wikipedia.org//wiki/Greta_Bodey,1995-07-11
Bri McFarlane,https://en.wikipedia.org//w/index.php?title=Bri_McFarlane&action=edit&redlink=1,NA
Grace Egan,https://en.wikipedia.org//wiki/Grace_Egan,2000-06-01
Katie Loynes,https://en.wikipedia.org//wiki/Katie_Loynes,1986-03-23
Darcy Vescio,https://en.wikipedia.org//wiki/Darcy_Vescio,1993-08-03
Madison Prespakis,https://en.wikipedia.org//wiki/Madison_Prespakis,2000-11-02
Abbie McKay,https://en.wikipedia.org//wiki/Abbie_McKay,2000-11-15
Gabriella Pound,https://en.wikipedia.org//wiki/Gabriella_Pound,1994-10-16
Tayla Harris,https://en.wikipedia.org//wiki/Tayla_Harris,1997-04-16
Vaomua Laloifi,https://en.wikipedia.org//wiki/Vaomua_Laloifi,1993-07-24
Kerryn Harrington,https://en.wikipedia.org//wiki/Kerryn_Harrington,1992-03-02
Sarah Hosking,https://en.wikipedia.org//wiki/Sarah_Hosking,1995-12-02
Jess Hosking,https://en.wikipedia.org//wiki/Jess_Hosking,1995-12-02
Lauren Brazzale,https://en.wikipedia.org//wiki/Lauren_Brazzale,1993-11-05
Lucy McEvoy,https://en.wikipedia.org//wiki/Lucy_McEvoy,2001-05-13
Brooke Walker,https://en.wikipedia.org//wiki/Brooke_Walker_(footballer),1995-01-03
Chloe Dalton,https://en.wikipedia.org//wiki/Chloe_Dalton,1993-07-11
Breann Moody,https://en.wikipedia.org//wiki/Breann_Moody,1997-03-04
Georgia Gee,https://en.wikipedia.org//wiki/Georgia_Gee,1999-10-28
Charlotte Wilson,https://en.wikipedia.org//wiki/Charlotte_Wilson_(footballer),2000-12-29
Nicola Stevens,https://en.wikipedia.org//wiki/Nicola_Stevens,1993-03-24
Courtney Jones,https://en.wikipedia.org//w/index.php?title=Courtney_Jones_(Australian_footballer)&action=edit&redlink=1,NA
Sharnie Whiting,https://en.wikipedia.org//w/index.php?title=Sharnie_Whiting&action=edit&redlink=1,NA
Jess Edwards,https://en.wikipedia.org//wiki/Jessica_Edwards_(footballer),1989-09-20
Emerson Woods,https://en.wikipedia.org//wiki/Emerson_Woods,2000-07-12
Alison Downie,https://en.wikipedia.org//wiki/Alison_Downie,1984-07-17
Brooke Vernon,https://en.wikipedia.org//w/index.php?title=Brooke_Vernon&action=edit&redlink=1,NA
Natalie Plane,https://en.wikipedia.org//wiki/Natalie_Plane,1996-08-04
Serena Gibbs,https://en.wikipedia.org//w/index.php?title=Serena_Gibbs&action=edit&redlink=1,NA
Jayde Van Dyk,https://en.wikipedia.org//wiki/Jayde_Van_Dyk,1996-03-28
Katie Harrison,https://en.wikipedia.org//w/index.php?title=Katie_Harrison&action=edit&redlink=1,NA
Joanne Doonan,https://en.wikipedia.org//wiki/Joanne_Doonan,1994-07-04
Chloe Molloy,https://en.wikipedia.org//wiki/Chloe_Molloy,1998-12-06
Brianna Davey,https://en.wikipedia.org//wiki/Brianna_Davey,1995-01-13
Sarah D'Arcy,https://en.wikipedia.org//wiki/Sarah_D%27Arcy,1991-08-22
Emma Grant,https://en.wikipedia.org//wiki/Emma_Grant_(footballer),1989-07-22
Jordyn Allen,https://en.wikipedia.org//wiki/Jordyn_Allen,2000-07-06
Brittany Bonnici,https://en.wikipedia.org//wiki/Brittany_Bonnici,1997-08-03
Alana Porter,https://en.wikipedia.org//w/index.php?title=Alana_Porter&action=edit&redlink=1,NA
Ashleigh Brazill,https://en.wikipedia.org//wiki/Ashleigh_Brazill,1989-12-29
Eliza Hynes,https://en.wikipedia.org//wiki/Eliza_Hynes,1992-01-29
Stacey Livingstone,https://en.wikipedia.org//wiki/Stacey_Livingstone,1988-01-23
Jaimee Lambert,https://en.wikipedia.org//wiki/Jaimee_Lambert,1994-07-08
Erica Fowler,https://en.wikipedia.org//wiki/Erica_Fowler,1992-07-08
Katie Lynch,https://en.wikipedia.org//wiki/Katie_Lynch,2000-04-06
Steph Chiocci,https://en.wikipedia.org//wiki/Steph_Chiocci,1988-12-06
Ruby Schleicher,https://en.wikipedia.org//wiki/Ruby_Schleicher,1998-03-16
Kaila Bentvelzen,https://en.wikipedia.org//w/index.php?title=Kaila_Bentvelzen&action=edit&redlink=1,NA
Jordan Membrey,https://en.wikipedia.org//wiki/Jordan_Membrey,1996-01-01
Sophie Casey,https://en.wikipedia.org//wiki/Sophie_Casey,1991-10-22
Lauren Butler,https://en.wikipedia.org//wiki/Lauren_Butler,2000-11-20
Sophie Alexander,https://en.wikipedia.org//wiki/Sophie_Alexander_(footballer),1993-05-25
Mikala Cann,https://en.wikipedia.org//wiki/Mikala_Cann,2000-11-04
Georgia Gourlay,https://en.wikipedia.org//wiki/Georgia_Gourlay,1999-03-23
Machaelia Roberts,https://en.wikipedia.org//w/index.php?title=Machaelia_Roberts&action=edit&redlink=1,NA
Maddie Shevlin,https://en.wikipedia.org//wiki/Maddie_Shevlin,1997-09-21
Kristy Stratton,https://en.wikipedia.org//wiki/Kristy_Stratton,1995-01-26
Sarah Dargan,https://en.wikipedia.org//wiki/Sarah_Dargan,1999-02-03
Ebony O'Dea,https://en.wikipedia.org//w/index.php?title=Ebony_O%27Dea&action=edit&redlink=1,NA
Sharni Layton,https://en.wikipedia.org//wiki/Sharni_Layton,1988-01-06
Sarah Rowe,https://en.wikipedia.org//wiki/Sarah_Rowe,1995-07-25
Aishling Sheridan,https://en.wikipedia.org//wiki/Aishling_Sheridan,1996-07-18
Ashley Sharp,https://en.wikipedia.org//wiki/Ashley_Sharp,1997-06-11
Kiara Bowers,https://en.wikipedia.org//wiki/Kiara_Bowers,1991-11-16
Emma O'Driscoll,https://en.wikipedia.org//w/index.php?title=Emma_O%27Driscoll_(footballer)&action=edit&redlink=1,NA
Mia-Rae Clifford,https://en.wikipedia.org//wiki/Mia-Rae_Clifford,1986-08-10
Tayla Bresland,https://en.wikipedia.org//wiki/Tayla_Bresland,1996-02-04
Sabreena Duffy,https://en.wikipedia.org//wiki/Sabreena_Duffy,2000-03-26
Jasmin Stewart,https://en.wikipedia.org//wiki/Jasmin_Stewart,1998-11-04
Evangeline Gooch,https://en.wikipedia.org//wiki/Evangeline_Gooch,1995-10-15
Alex Williams,https://en.wikipedia.org//wiki/Alex_Williams_(Australian_footballer),1993-04-20
Ebony Antonio,https://en.wikipedia.org//wiki/Ebony_Antonio,1991-12-18
Katie-Jayne Grieve,https://en.wikipedia.org//wiki/Katie-Jayne_Grieve,1997-03-08
Leah Mascall,https://en.wikipedia.org//wiki/Leah_Mascall,1990-05-23
Kara Antonio,https://en.wikipedia.org//wiki/Kara_Antonio,1992-02-27
Sarah Garstone,https://en.wikipedia.org//w/index.php?title=Sarah_Garstone&action=edit&redlink=1,NA
Roxy Roux,https://en.wikipedia.org//wiki/Roxy_Roux,2001-11-10
Philipa Seth,https://en.wikipedia.org//wiki/Philipa_Seth,1994-02-19
Hayley Miller,https://en.wikipedia.org//wiki/Hayley_Miller,1996-02-03
Stephanie Cain,https://en.wikipedia.org//wiki/Stephanie_Cain,1996-06-04
Mim Strom,https://en.wikipedia.org//wiki/Mim_Strom,2001-11-07
Gabby O'Sullivan,https://en.wikipedia.org//wiki/Gabby_O%27Sullivan,1994-03-21
Matilda Sergeant,https://en.wikipedia.org//wiki/Matilda_Sergeant,1999-03-13
Angelique Stannett,https://en.wikipedia.org//wiki/Angelique_Stannett,1997-04-15
Ann McMahon,https://en.wikipedia.org//w/index.php?title=Ann_McMahon&action=edit&redlink=1,NA
Bianca Webb,https://en.wikipedia.org//wiki/Bianca_Webb,2001-09-14
Gemma Houghton,https://en.wikipedia.org//wiki/Gemma_Houghton,1993-12-31
Janelle Cuthbertson,https://en.wikipedia.org//w/index.php?title=Janelle_Cuthbertson&action=edit&redlink=1,NA
Laura Pugh,https://en.wikipedia.org//wiki/Laura_Pugh,1993-11-01
Aine Tighe,https://en.wikipedia.org//w/index.php?title=Aine_Tighe&action=edit&redlink=1,NA
Lindal Rohde,https://en.wikipedia.org//w/index.php?title=Lindal_Rohde&action=edit&redlink=1,NA
Kate Flood,https://en.wikipedia.org//wiki/Kate_Flood,1992-08-14
Rene Caris,https://en.wikipedia.org//wiki/Rene_Caris,1999-03-18
Danielle Orr,https://en.wikipedia.org//wiki/Danielle_Orr,1990-03-14
Amy McDonald,https://en.wikipedia.org//w/index.php?title=Amy_McDonald_(Australian_footballer)&action=edit&redlink=1,NA
Cassie Blakeway,https://en.wikipedia.org//wiki/Cassie_Blakeway,1993-04-18
Jordan Ivey,https://en.wikipedia.org//wiki/Jordan_Ivey,1992-10-29
Julia Crockett-Grills,https://en.wikipedia.org//wiki/Julia_Crockett-Grills,1994-10-28
Madisen Maguire,https://en.wikipedia.org//w/index.php?title=Madisen_Maguire&action=edit&redlink=1,NA
Kate Darby,https://en.wikipedia.org//wiki/Kate_Darby,1990-11-18
Nina Morrison,https://en.wikipedia.org//wiki/Nina_Morrison,2000-12-13
Meg McDonald,https://en.wikipedia.org//wiki/Meg_McDonald_(footballer),1991-06-19
Renee Garing,https://en.wikipedia.org//wiki/Renee_Garing,1988-09-04
Aasta O'Connor,https://en.wikipedia.org//wiki/Aasta_O%27Connor,1987-06-21
Gemma Wright,https://en.wikipedia.org//w/index.php?title=Gemma_Wright&action=edit&redlink=1,NA
Olivia Purcell,https://en.wikipedia.org//wiki/Olivia_Purcell,2000-09-05
Georgia Clarke,https://en.wikipedia.org//wiki/Georgia_Clarke,2000-06-23
Melissa Hickey,https://en.wikipedia.org//wiki/Melissa_Hickey,1984-12-18
Millie Brown,https://en.wikipedia.org//w/index.php?title=Millie_Brown_(footballer)&action=edit&redlink=1,NA
Mia Skinner,https://en.wikipedia.org//w/index.php?title=Mia_Skinner&action=edit&redlink=1,NA
Rebecca Webster,https://en.wikipedia.org//wiki/Rebecca_Webster,2000-10-22
Nicole Garner,https://en.wikipedia.org//w/index.php?title=Nicole_Garner&action=edit&redlink=1,NA
Phoebe McWilliams,https://en.wikipedia.org//wiki/Phoebe_McWilliams,1985-08-31
Madeleine Boyd,https://en.wikipedia.org//wiki/Madeleine_Boyd_(footballer),1993-03-20
Sophie Van De Heuvel,https://en.wikipedia.org//wiki/Sophie_Van_De_Heuvel,2000-12-10
Denby Taylor,https://en.wikipedia.org//wiki/Denby_Taylor,2000-02-16
Richelle Cranston,https://en.wikipedia.org//wiki/Richelle_Cranston,1989-09-25
Anna Teague,https://en.wikipedia.org//wiki/Anna_Teague,1987-12-08
Rebecca Goring,https://en.wikipedia.org//wiki/Rebecca_Goring,1994-06-09
Madeline Keryk,https://en.wikipedia.org//wiki/Madeline_Keryk,1995-03-09
Georgie Rankin,https://en.wikipedia.org//wiki/Georgie_Rankin,1998-01-28
Maddy McMahon,https://en.wikipedia.org//wiki/Maddy_McMahon,1989-04-10
Paige Parker,https://en.wikipedia.org//wiki/Paige_Parker,1995-07-05
Lauren Bella,https://en.wikipedia.org//wiki/Lauren_Bella,2000-09-12
Tori Groves-Little,https://en.wikipedia.org//wiki/Tori_Groves-Little,2000-10-13
Jordann Hickey,https://en.wikipedia.org//wiki/Jordann_Hickey,1994-12-22
Jacqui Yorston,https://en.wikipedia.org//wiki/Jacqui_Yorston,2000-10-25
Charlotte Hammans,https://en.wikipedia.org//w/index.php?title=Charlotte_Hammans&action=edit&redlink=1,NA
Lauren Ahrens,https://en.wikipedia.org//wiki/Lauren_Ahrens,1991-08-19
Sally Riley,https://en.wikipedia.org//wiki/Sally_Riley,1990-06-14
Emma Pittman,https://en.wikipedia.org//wiki/Emma_Pittman,1992-12-29
Maddy Roberts,https://en.wikipedia.org//w/index.php?title=Maddy_Roberts&action=edit&redlink=1,NA
Leah Kaslar,https://en.wikipedia.org//wiki/Leah_Kaslar,1985-09-11
Molly Ritson,https://en.wikipedia.org//wiki/Molly_Ritson,1999-08-12
Taylor Smith,https://en.wikipedia.org//w/index.php?title=Taylor_Smith_(Australian_footballer)&action=edit&redlink=1,NA
Serene Watson,https://en.wikipedia.org//wiki/Serene_Watson,2001-11-03
Tayla Thorn,https://en.wikipedia.org//wiki/Tayla_Thorn,1998-05-31
Brittany Perry,https://en.wikipedia.org//wiki/Brittany_Perry,1994-03-09
Jamie Stanton,https://en.wikipedia.org//wiki/Jamie_Stanton,1995-11-07
Kitara Whap-Farrar,https://en.wikipedia.org//w/index.php?title=Kitara_Whap-Farrar&action=edit&redlink=1,NA
Tiarna Ernst,https://en.wikipedia.org//wiki/Tiarna_Ernst,1988-01-24
Jasmyn Hewett,https://en.wikipedia.org//wiki/Jasmyn_Hewett,1993-09-28
Ellie Hampson,https://en.wikipedia.org//wiki/Ellie_Hampson,2001-02-08
Sam Virgo,https://en.wikipedia.org//wiki/Sam_Virgo,1987-02-20
Kalinda Howarth,https://en.wikipedia.org//wiki/Kalinda_Howarth,1999-08-02
Hannah Dunn,https://en.wikipedia.org//wiki/Hannah_Dunn,1991-08-18
Dee Heslop,https://en.wikipedia.org//wiki/Dee_Heslop,2001-07-30
Kate Surman,https://en.wikipedia.org//w/index.php?title=Kate_Surman&action=edit&redlink=1,NA
Cheyenne Hammond,https://en.wikipedia.org//wiki/Cheyenne_Hammond,1998-07-29
Lexi Hamilton,https://en.wikipedia.org//w/index.php?title=Lexi_Hamilton&action=edit&redlink=1,NA
Jade Pregelj,https://en.wikipedia.org//wiki/Jade_Pregelj,1991-08-22
Georgia Breward,https://en.wikipedia.org//w/index.php?title=Georgia_Breward&action=edit&redlink=1,NA
Emily Goodsir,https://en.wikipedia.org//w/index.php?title=Emily_Goodsir&action=edit&redlink=1,NA
