name,href,dob
Alicia Eva,https://en.wikipedia.org//wiki/Alicia_Eva,1991-04-02
Alyce Parker,https://en.wikipedia.org//wiki/Alyce_Parker,2000-08-15
Maggie Gorman,https://en.wikipedia.org//w/index.php?title=Maggie_Gorman&action=edit&redlink=1,NA
Jodie Hicks,https://en.wikipedia.org//wiki/Jodie_Hicks,1997-01-19
Rebecca Beeson,https://en.wikipedia.org//wiki/Rebecca_Beeson,1997-02-20
Jessica Dal Pos,https://en.wikipedia.org//wiki/Jessica_Dal_Pos,1993-09-20
Nicola Barr,https://en.wikipedia.org//wiki/Nicola_Barr,1996-06-13
Tanya Hetherington,https://en.wikipedia.org//wiki/Tanya_Hetherington,1985-04-14
Ellie Brush,https://en.wikipedia.org//wiki/Ellie_Brush,1988-08-19
Aimee Schmidt,https://en.wikipedia.org//wiki/Aimee_Schmidt,1993-04-16
Louise Stephenson,https://en.wikipedia.org//wiki/Louise_Stephenson,1995-07-09
Cora Staunton,https://en.wikipedia.org//wiki/Cora_Staunton,NA
Annalyse Lister,https://en.wikipedia.org//w/index.php?title=Annalyse_Lister&action=edit&redlink=1,NA
Lisa Whiteley,https://en.wikipedia.org//wiki/Lisa_Whiteley,1993-01-17
Georgia Garnett,https://en.wikipedia.org//w/index.php?title=Georgia_Garnett&action=edit&redlink=1,NA
Rebecca Privitelli,https://en.wikipedia.org//wiki/Rebecca_Privitelli,1995-01-03
Lisa Steane,https://en.wikipedia.org//w/index.php?title=Lisa_Steane&action=edit&redlink=1,NA
Pepa Randall,https://en.wikipedia.org//wiki/Pepa_Randall,1996-04-01
Elle Bennetts,https://en.wikipedia.org//wiki/Elle_Bennetts,1989-09-06
Erin McKinnon,https://en.wikipedia.org//wiki/Erin_McKinnon,1998-12-15
Haneen Zreika,https://en.wikipedia.org//wiki/Haneen_Zreika,1999-04-15
Ingrid Nielsen,https://en.wikipedia.org//wiki/Ingrid_Nielsen,1991-11-27
Yvonne Bonner,https://en.wikipedia.org//wiki/Yvonne_Bonner,NA
Sarah Halvorsen,https://en.wikipedia.org//w/index.php?title=Sarah_Halvorsen&action=edit&redlink=1,NA
Jacinda Barclay,https://en.wikipedia.org//wiki/Jacinda_Barclay,1991-02-18
Britt Tully,https://en.wikipedia.org//wiki/Britt_Tully,1993-05-03
Jessica Allan,https://en.wikipedia.org//wiki/Jessica_Allan,1999-05-26
Taylah Davies,https://en.wikipedia.org//wiki/Taylah_Davies,1994-10-03
Tait Mackrill,https://en.wikipedia.org//wiki/Tait_Mackrill,1999-09-03
Tegan Cunningham,https://en.wikipedia.org//wiki/Tegan_Cunningham,1988-01-23
Meg Downie,https://en.wikipedia.org//wiki/Meg_Downie,1989-01-03
Maddison Gay,https://en.wikipedia.org//wiki/Maddison_Gay,1996-09-28
Karen Paxman,https://en.wikipedia.org//wiki/Karen_Paxman,1988-11-25
Elise O'Dea,https://en.wikipedia.org//wiki/Elise_O%27Dea,1991-09-04
Daisy Pearce,https://en.wikipedia.org//wiki/Daisy_Pearce,1988-05-27
Bianca Jakobsson,https://en.wikipedia.org//wiki/Bianca_Jakobsson,1993-03-30
Sarah Lampard,https://en.wikipedia.org//wiki/Sarah_Lampard,1997-07-07
Libby Birch,https://en.wikipedia.org//wiki/Libby_Birch,1997-12-03
Kate Hore,https://en.wikipedia.org//wiki/Kate_Hore,1995-03-25
Shelley Scott,https://en.wikipedia.org//wiki/Shelley_Scott,1988-03-16
Katherine Smith,https://en.wikipedia.org//wiki/Katherine_Smith_(footballer),1998-09-28
Lily Mithen,https://en.wikipedia.org//wiki/Lily_Mithen,1998-03-02
Lauren Pearce,https://en.wikipedia.org//wiki/Lauren_Pearce,1993-01-12
Aliesha Newman,https://en.wikipedia.org//wiki/Aliesha_Newman,1995-09-16
Casey Sherriff,https://en.wikipedia.org//wiki/Casey_Sherriff,1998-04-22
Jackie Parry,https://en.wikipedia.org//w/index.php?title=Jackie_Parry&action=edit&redlink=1,NA
Brenna Tarrant,https://en.wikipedia.org//w/index.php?title=Brenna_Tarrant&action=edit&redlink=1,NA
Harriet Cordner,https://en.wikipedia.org//wiki/Harriet_Cordner,1992-07-22
Maddy Guerin,https://en.wikipedia.org//wiki/Maddy_Guerin,1999-10-25
Shae Sloane,https://en.wikipedia.org//wiki/Shae_Sloane,1992-05-01
Tyla Hanks,https://en.wikipedia.org//wiki/Tyla_Hanks,2000-02-15
Eden Zanker,https://en.wikipedia.org//wiki/Eden_Zanker,1999-11-11
Shelley Heath,https://en.wikipedia.org//wiki/Shelley_Heath,2000-06-06
Krstel Petrevski,https://en.wikipedia.org//w/index.php?title=Krstel_Petrevski&action=edit&redlink=1,NA
Gabby Colvin,https://en.wikipedia.org//w/index.php?title=Gabby_Colvin&action=edit&redlink=1,NA
Ainslie Kemp,https://en.wikipedia.org//wiki/Ainslie_Kemp,1997-03-18
Chantel Emonson,https://en.wikipedia.org//wiki/Chantel_Emonson,1993-05-08
Niamh McEvoy,"https://en.wikipedia.org//wiki/Niamh_McEvoy_(footballer,_born_1990)",1990-10-02
Sinéad Goldrick,https://en.wikipedia.org//wiki/Sin%C3%A9ad_Goldrick,NA
Sophie Abbatangelo,https://en.wikipedia.org//wiki/Sophie_Abbatangelo,1990-06-27
Daria Bannister,https://en.wikipedia.org//wiki/Daria_Bannister,1999-04-20
Taylor Mesiti,https://en.wikipedia.org//wiki/Taylor_Mesiti,1998-03-22
Elisha King,https://en.wikipedia.org//wiki/Elisha_King,1999-06-15
Kate Gillespie-Jones,https://en.wikipedia.org//wiki/Kate_Gillespie-Jones,1991-04-26
Emma Humphries,https://en.wikipedia.org//wiki/Emma_Humphries_(Australian_footballer),1995-07-27
Ashleigh Riddell,https://en.wikipedia.org//wiki/Ashleigh_Riddell,1996-03-07
Emma Kearney,https://en.wikipedia.org//wiki/Emma_Kearney_(sportswoman),1989-09-24
Kaitlyn Ashmore,https://en.wikipedia.org//wiki/Kaitlyn_Ashmore,1991-11-08
Daisy Bateman,https://en.wikipedia.org//wiki/Daisy_Bateman,2000-02-20
Nicole Bresnehan,https://en.wikipedia.org//wiki/Nicole_Bresnehan,1997-03-25
Tahlia Randall,https://en.wikipedia.org//wiki/Tahlia_Randall,1998-05-29
Sarah Wright,https://en.wikipedia.org//wiki/Sarah_Wright_(footballer),1994-05-06
Brittany Gibson,https://en.wikipedia.org//wiki/Brittany_Gibson,1992-04-18
Jasmine Grierson,https://en.wikipedia.org//wiki/Jasmine_Grierson,1998-05-16
Jess Trend,https://en.wikipedia.org//wiki/Jess_Trend,1991-07-01
Ellie Gavalas,https://en.wikipedia.org//w/index.php?title=Ellie_Gavalas&action=edit&redlink=1,NA
Mia King,https://en.wikipedia.org//w/index.php?title=Mia_King&action=edit&redlink=1,NA
Tahni Nestor,https://en.wikipedia.org//wiki/Tahni_Nestor,1991-03-03
Jasmine Garner,https://en.wikipedia.org//wiki/Jasmine_Garner,1994-07-08
Abbey Green,https://en.wikipedia.org//w/index.php?title=Abbey_Green_(footballer)&action=edit&redlink=1,NA
Jess Duffin,https://en.wikipedia.org//wiki/Jess_Duffin,1989-06-27
,https://en.wikipedia.org//wiki/File:Pregnant_(CoreUI_Icons_v1.0.0).svg,NA
Libby Haines,https://en.wikipedia.org//w/index.php?title=Libby_Haines&action=edit&redlink=1,NA
Chloe Haines,https://en.wikipedia.org//wiki/Chloe_Haines,2000-02-29
Danielle Hardiman,https://en.wikipedia.org//wiki/Danielle_Hardiman,1994-12-07
Jenna Bruton,https://en.wikipedia.org//wiki/Jenna_Bruton,1995-11-08
Vivien Saad,https://en.wikipedia.org//w/index.php?title=Vivien_Saad&action=edit&redlink=1,NA
Emma King,https://en.wikipedia.org//wiki/Emma_King_(footballer),1994-06-28
Aileen Gilroy,https://en.wikipedia.org//w/index.php?title=Aileen_Gilroy&action=edit&redlink=1,NA
Mairead Seoighe,https://en.wikipedia.org//w/index.php?title=Mairead_Seoighe&action=edit&redlink=1,NA
Bethany Lynch,https://en.wikipedia.org//wiki/Bethany_Lynch,1997-05-19
Sophie Molan,https://en.wikipedia.org//wiki/Sophie_Molan,2001-03-24
Phoebe Monahan,https://en.wikipedia.org//wiki/Phoebe_Monahan,1993-07-03
Katie Brennan,https://en.wikipedia.org//wiki/Katie_Brennan,1992-10-02
Monique Conti,https://en.wikipedia.org//wiki/Monique_Conti,1999-12-09
Maddy Brancatisano,https://en.wikipedia.org//wiki/Maddy_Brancatisano,2000-09-05
Christina Bernardi,https://en.wikipedia.org//wiki/Christina_Bernardi,1990-06-07
Lauren Tesoriero,https://en.wikipedia.org//wiki/Lauren_Tesoriero,1986-09-10
Courtney Wakefield,https://en.wikipedia.org//wiki/Courtney_Wakefield,1987-03-29
Hannah Burchell,https://en.wikipedia.org//wiki/Hannah_Burchell,1995-02-25
Kodi Jacques,https://en.wikipedia.org//wiki/Kodi_Jacques,2000-09-27
Alice Edmonds,https://en.wikipedia.org//wiki/Alice_Edmonds,1998-05-31
Laura Bailey,https://en.wikipedia.org//wiki/Laura_Bailey_(footballer),1992-08-19
Alana Woodward,https://en.wikipedia.org//wiki/Alana_Woodward,1990-07-13
Sabrina Frederick,https://en.wikipedia.org//wiki/Sabrina_Frederick,1996-11-14
Rebecca Miller,https://en.wikipedia.org//wiki/Rebecca_Miller_(footballer),1995-08-10
Laura McClelland,https://en.wikipedia.org//wiki/Laura_McClelland,2001-03-07
Ella Wood,https://en.wikipedia.org//w/index.php?title=Ella_Wood&action=edit&redlink=1,NA
Sarah Sansonetti,https://en.wikipedia.org//wiki/Sarah_Sansonetti,2001-08-02
Kate Dempsey,https://en.wikipedia.org//w/index.php?title=Kate_Dempsey&action=edit&redlink=1,NA
Holly Whitford,https://en.wikipedia.org//wiki/Holly_Whitford,1999-02-11
Iilish Ross,https://en.wikipedia.org//wiki/Iilish_Ross,1999-06-21
Nekaela Butler,https://en.wikipedia.org//w/index.php?title=Nekaela_Butler&action=edit&redlink=1,NA
Emma Horne,https://en.wikipedia.org//w/index.php?title=Emma_Horne&action=edit&redlink=1,NA
Tayla Stahl,https://en.wikipedia.org//wiki/Tayla_Stahl,1995-01-06
Cleo Saxon-Jones,https://en.wikipedia.org//w/index.php?title=Cleo_Saxon-Jones&action=edit&redlink=1,NA
Ciara Fitzgerald,https://en.wikipedia.org//w/index.php?title=Ciara_Fitzgerald&action=edit&redlink=1,NA
Emily Harley,https://en.wikipedia.org//w/index.php?title=Emily_Harley&action=edit&redlink=1,NA
Akec Makur Chuot,https://en.wikipedia.org//wiki/Akec_Makur_Chuot,1992-09-05
Grace Campbell,https://en.wikipedia.org//wiki/Grace_Campbell_(footballer),1995-12-05
Gabby Seymour,https://en.wikipedia.org//wiki/Gabby_Seymour,1996-10-28
Molly McDonald,https://en.wikipedia.org//w/index.php?title=Molly_McDonald&action=edit&redlink=1,NA
Alison Brown,https://en.wikipedia.org//wiki/Alison_Brown_(footballer),1997-09-21
Emma Mackie,https://en.wikipedia.org//wiki/Emma_Mackie,1984-09-09
Claudia Whitfort,https://en.wikipedia.org//wiki/Claudia_Whitfort,1999-07-31
Darcy Guttridge,https://en.wikipedia.org//wiki/Darcy_Guttridge,1999-10-30
Samantha Johnson,https://en.wikipedia.org//wiki/Samantha_Johnson,1991-06-10
Rhiannon Watt,https://en.wikipedia.org//wiki/Rhiannon_Watt,1987-12-08
Alison Drennan,https://en.wikipedia.org//wiki/Alison_Drennan,1991-01-30
Kate McCarthy,https://en.wikipedia.org//wiki/Kate_McCarthy,1992-10-24
Jessica Sedunary,https://en.wikipedia.org//wiki/Jessica_Sedunary,1990-11-10
Isabella Shannon,https://en.wikipedia.org//w/index.php?title=Isabella_Shannon&action=edit&redlink=1,NA
Kate Shierlaw,https://en.wikipedia.org//wiki/Kate_Shierlaw,1989-02-28
Courteney Munn,https://en.wikipedia.org//wiki/Courteney_Munn,1998-12-10
Hannah Priest,https://en.wikipedia.org//w/index.php?title=Hannah_Priest&action=edit&redlink=1,NA
Nat Exon,https://en.wikipedia.org//wiki/Nat_Exon,1992-12-07
Poppy Kelly,https://en.wikipedia.org//w/index.php?title=Poppy_Kelly&action=edit&redlink=1,NA
Caitlin Greiser,https://en.wikipedia.org//wiki/Caitlin_Greiser,1999-02-17
Tilly Lucas-Rodd,https://en.wikipedia.org//wiki/Tilly_Lucas-Rodd,1996-04-18
Melissa Kuys,https://en.wikipedia.org//wiki/Melissa_Kuys,1987-12-09
Kelly O'Neill,https://en.wikipedia.org//wiki/Kelly_O%27Neill,1991-04-20
Georgia Patrikios,https://en.wikipedia.org//wiki/Georgia_Patrikios,2001-03-30
Tamara Luke,https://en.wikipedia.org//w/index.php?title=Tamara_Luke&action=edit&redlink=1,NA
Olivia Vesely,https://en.wikipedia.org//wiki/Olivia_Vesely,1999-12-06
Clara Fitzpatrick,https://en.wikipedia.org//wiki/Clara_Fitzpatrick,1990-10-01
Rosie Dillon,https://en.wikipedia.org//wiki/Rosie_Dillon,1996-03-19
Selena Karlson,https://en.wikipedia.org//wiki/Selena_Karlson,1998-08-13
Nicola Xenos,https://en.wikipedia.org//w/index.php?title=Nicola_Xenos&action=edit&redlink=1,NA
Nadia Von Bertouch,https://en.wikipedia.org//w/index.php?title=Nadia_Von_Bertouch&action=edit&redlink=1,NA
Tarni White,https://en.wikipedia.org//w/index.php?title=Tarni_White&action=edit&redlink=1,NA
Cat Phillips,https://en.wikipedia.org//wiki/Cat_Phillips,1991-10-13
Mikayla Bowen,https://en.wikipedia.org//wiki/Mikayla_Bowen,2001-04-17
Kellie Gibson,https://en.wikipedia.org//wiki/Kellie_Gibson,1996-06-09
Brianna Green,https://en.wikipedia.org//wiki/Brianna_Green,1996-11-20
Courtney Guard,https://en.wikipedia.org//wiki/Courtney_Guard,1991-09-26
McKenzie Dowrick,https://en.wikipedia.org//wiki/McKenzie_Dowrick,2000-03-07
Emily Bonser,https://en.wikipedia.org//w/index.php?title=Emily_Bonser&action=edit&redlink=1,NA
Beatrice Devlyn,https://en.wikipedia.org//wiki/Beatrice_Devlyn,1998-02-08
Maddy Collier,https://en.wikipedia.org//wiki/Maddy_Collier,1995-09-14
Ashlee Atkins,https://en.wikipedia.org//wiki/Ashlee_Atkins,1993-04-02
Melissa Caulfield,https://en.wikipedia.org//wiki/Melissa_Caulfield,1988-05-29
Danika Pisconeri,https://en.wikipedia.org//w/index.php?title=Danika_Pisconeri&action=edit&redlink=1,NA
Emma Swanson,https://en.wikipedia.org//wiki/Emma_Swanson,1995-02-27
Belinda Smith,https://en.wikipedia.org//wiki/Belinda_Smith,1995-06-01
Ashton Hill,https://en.wikipedia.org//w/index.php?title=Ashton_Hill&action=edit&redlink=1,NA
Dana Hooker,https://en.wikipedia.org//wiki/Dana_Hooker,1991-01-23
Imahra Cameron,https://en.wikipedia.org//w/index.php?title=Imahra_Cameron&action=edit&redlink=1,NA
Kate Bartlett,https://en.wikipedia.org//wiki/Kate_Bartlett,1999-06-11
Tarnee Tester,https://en.wikipedia.org//w/index.php?title=Tarnee_Tester&action=edit&redlink=1,NA
Hayley Bullas,https://en.wikipedia.org//wiki/Hayley_Bullas,1996-09-23
Parris Laurie,https://en.wikipedia.org//wiki/Parris_Laurie,1994-12-09
Talia Radan,https://en.wikipedia.org//wiki/Talia_Radan,1988-05-09
Chantella Perera,https://en.wikipedia.org//w/index.php?title=Chantella_Perera&action=edit&redlink=1,NA
Emily McGuire,https://en.wikipedia.org//wiki/Emily_McGuire,1999-01-12
Katherine Orme,https://en.wikipedia.org//w/index.php?title=Katherine_Orme&action=edit&redlink=1,NA
Cassie Davidson,https://en.wikipedia.org//wiki/Cassie_Davidson,1996-10-06
Sophie McDonald,https://en.wikipedia.org//w/index.php?title=Sophie_McDonald&action=edit&redlink=1,NA
Alicia Janz,https://en.wikipedia.org//wiki/Alicia_Janz,1990-05-25
Rosie Deegan,https://en.wikipedia.org//w/index.php?title=Rosie_Deegan&action=edit&redlink=1,NA
Niamh Kelly,https://en.wikipedia.org//w/index.php?title=Niamh_Kelly&action=edit&redlink=1,NA
Grace Kelly,https://en.wikipedia.org//w/index.php?title=Grace_Kelly_(footballer)&action=edit&redlink=1,NA
Mhicca Carter,https://en.wikipedia.org//w/index.php?title=Mhicca_Carter&action=edit&redlink=1,NA
Brooke Lochland,https://en.wikipedia.org//wiki/Brooke_Lochland,1991-05-03
Ellie Blackburn,https://en.wikipedia.org//wiki/Ellie_Blackburn,1995-03-25
Isabella Grant,https://en.wikipedia.org//w/index.php?title=Isabella_Grant&action=edit&redlink=1,NA
Isabel Huntington,https://en.wikipedia.org//wiki/Isabel_Huntington,1999-02-25
Gabby Newton,https://en.wikipedia.org//w/index.php?title=Gabby_Newton&action=edit&redlink=1,NA
Kirsten McLeod,https://en.wikipedia.org//wiki/Kirsten_McLeod,1994-05-30
Deanna Berry,https://en.wikipedia.org//wiki/Deanna_Berry,1998-05-07
Bonnie Toogood,https://en.wikipedia.org//wiki/Bonnie_Toogood,1997-12-08
Eleanor Brown,https://en.wikipedia.org//wiki/Eleanor_Brown_(footballer),2000-01-20
Nicole Callinan,https://en.wikipedia.org//wiki/Nicole_Callinan,1982-12-26
Lauren Spark,https://en.wikipedia.org//wiki/Lauren_Spark,1985-11-19
Gemma Lagioia,https://en.wikipedia.org//w/index.php?title=Gemma_Lagioia&action=edit&redlink=1,NA
Celine Moody,https://en.wikipedia.org//wiki/Celine_Moody,1997-03-04
Ellyse Gamble,https://en.wikipedia.org//wiki/Ellyse_Gamble,1997-09-16
Aisling McCarthy,https://en.wikipedia.org//wiki/Aisling_McCarthy,1996-02-24
Naomi Ferres,https://en.wikipedia.org//wiki/Naomi_Ferres,1997-10-26
Elisabeth Georgostathis,https://en.wikipedia.org//w/index.php?title=Elisabeth_Georgostathis&action=edit&redlink=1,NA
Britney Gutknecht,https://en.wikipedia.org//w/index.php?title=Britney_Gutknecht&action=edit&redlink=1,NA
Ashleigh Guest,https://en.wikipedia.org//wiki/Ashleigh_Guest,1990-04-10
Hannah Munyard,https://en.wikipedia.org//w/index.php?title=Hannah_Munyard&action=edit&redlink=1,NA
Bailey Hunt,https://en.wikipedia.org//wiki/Bailey_Hunt,1996-02-17
Hannah Scott,https://en.wikipedia.org//wiki/Hannah_Scott_(footballer),1990-03-10
Aisling Utri,https://en.wikipedia.org//wiki/Aisling_Utri,1998-03-21
Kim Rennie,https://en.wikipedia.org//wiki/Kim_Rennie,1994-10-19
Nell Morris-Dalton,https://en.wikipedia.org//w/index.php?title=Nell_Morris-Dalton&action=edit&redlink=1,NA
Danielle Marshall,https://en.wikipedia.org//wiki/Danielle_Marshall,1991-08-15
Kirsty Lamb,https://en.wikipedia.org//wiki/Kirsty_Lamb,1994-06-27
Amelia Van Oosterwijck,https://en.wikipedia.org//w/index.php?title=Amelia_Van_Oosterwijck&action=edit&redlink=1,NA
Angelica Gogos,https://en.wikipedia.org//wiki/Angelica_Gogos,1989-09-03
Katy Herron,https://en.wikipedia.org//w/index.php?title=Katy_Herron&action=edit&redlink=1,NA
