season,href,name,dob,height,weight,age_year_end_days,age_year_end_years
1991,pp-west-coast-eagles--guy-mckenna,Guy McKenna,1969-05-11,184,88,8259,22.627
1991,pp-essendon-bombers--anthony-daniher,Anthony Daniher,1963-01-21,191,90,10561,28.934
1991,pp-adelaide-crows--nigel-smart,Nigel Smart,1969-05-21,188,91,8249,22.6
1991,pp-st-kilda-saints--david-grant,David Grant,1966-08-07,184,84,9267,25.389
1991,pp-fitzroy-lions--paul-roos,Paul Roos,1963-06-27,188,88,10404,28.504
1991,pp-geelong-cats--ken-hinkley,Ken Hinkley,1966-09-30,185,80,9213,25.241
1991,pp-west-coast-eagles--chris-mainwaring,Chris Mainwaring,1965-12-27,177,85,9490,26
1991,pp-geelong-cats--paul-couch,Paul Couch,1964-07-19,180,82,10016,27.441
1991,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,8297,22.732
1991,pp-collingwood-magpies--gavin-brown,Gavin Brown,1967-09-25,184,86,8853,24.255
1991,pp-st-kilda-saints--stewart-loewe,Stewart Loewe,1968-05-23,194,108,8612,23.595
1991,pp-st-kilda-saints--nicky-winmar,Nicky Winmar,1965-09-25,183,81,9583,26.255
1991,pp-collingwood-magpies--tony-francis,Tony Francis,1969-04-01,171,74,8299,22.737
1991,pp-st-kilda-saints--tony-lockett,Tony Lockett,1966-03-09,191,108,9418,25.803
1991,pp-geelong-cats--garry-hocking,Garry Hocking,1968-10-08,182,84,8474,23.216
1991,pp-melbourne-demons--jim-stynes,Jim Stynes,1966-04-23,199,99,9373,25.679
1991,pp-geelong-cats--mark-bairstow,Mark Bairstow,1963-07-24,180,87,10377,28.43
1991,pp-sydney-swans--barry-mitchell,Barry Mitchell,1965-12-07,173,70,9510,26.055
1991,pp-geelong-cats--bill-brownless,Bill Brownless,1967-01-28,192,95,9093,24.912
1991,pp-west-coast-eagles--craig-turley,Craig Turley,1965-08-24,185,84,9615,26.342
1992,pp-adelaide-crows--ben-hart,Ben Hart,1974-07-09,190,83,6740,18.466
1992,pp-fitzroy-lions--paul-roos,Paul Roos,1963-06-27,188,88,10770,29.507
1992,pp-essendon-bombers--gavin-wanganeen,Gavin Wanganeen,1973-06-16,181,83,7128,19.529
1992,pp-geelong-cats--ken-hinkley,Ken Hinkley,1966-09-30,185,80,9579,26.244
1992,pp-geelong-cats--barry-stoneham,Barry Stoneham,1968-02-09,194,98,9082,24.882
1992,pp-carlton-blues--mil-hanna,Mil Hanna,1966-04-05,184,91,9757,26.732
1992,pp-west-coast-eagles--dean-kemp,Dean Kemp,1969-02-17,182,81,8708,23.858
1992,pp-hawthorn-hawks--darren-jarman,Darren Jarman,1967-01-28,186,92,9459,25.915
1992,pp-collingwood-magpies--michael-mcguane,Michael McGuane,1967-12-29,186,94,9124,24.997
1992,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,7793,21.351
1992,pp-st-kilda-saints--stewart-loewe,Stewart Loewe,1968-05-23,194,108,8978,24.597
1992,pp-geelong-cats--gary-ablett,Gary Ablett,1961-10-01,185,97,11404,31.244
1992,pp-adelaide-crows--tony-mcguinness,Tony McGuinness,1964-05-06,176,76,10456,28.647
1992,pp-hawthorn-hawks--jason-dunstall,Jason Dunstall,1964-08-14,188,98,10356,28.373
1992,pp-st-kilda-saints--tony-lockett,Tony Lockett,1966-03-09,191,108,9784,26.805
1992,pp-western-bulldogs--scott-wynd,Scott Wynd,1970-01-25,201,108,8366,22.921
1992,pp-adelaide-crows--chris-mcdermott,Chris McDermott,1963-11-04,182,92,10640,29.151
1992,pp-hawthorn-hawks--john-platten,John Platten,1963-03-17,170,70,10872,29.786
1992,pp-carlton-blues--stephen-kernahan,Stephen Kernahan,1963-09-01,196,102,10704,29.326
1992,pp-geelong-cats--mark-bairstow,Mark Bairstow,1963-07-24,180,87,10743,29.433
1993,pp-adelaide-crows--ben-hart,Ben Hart,1974-07-09,190,83,7105,19.466
1993,pp-fitzroy-lions--alastair-lynch,Alastair Lynch,1968-06-19,193,97,9316,25.523
1993,pp-essendon-bombers--gavin-wanganeen,Gavin Wanganeen,1973-06-16,181,83,7493,20.529
1993,pp-west-coast-eagles--guy-mckenna,Guy McKenna,1969-05-11,184,88,8990,24.63
1993,pp-essendon-bombers--mark-harvey,Mark Harvey,1965-06-11,184,87,10420,28.548
1993,pp-carlton-blues--andrew-mckay,Andrew McKay,1970-07-14,185,90,8561,23.455
1993,pp-adelaide-crows--greg-anderson,Greg Anderson,1966-05-14,188,92,10083,27.625
1993,pp-carlton-blues--greg-williams,Greg Williams,1963-09-30,176,86,11040,30.247
1993,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,9028,24.734
1993,pp-carlton-blues--craig-bradley,Craig Bradley,1963-10-23,180,81,11017,30.184
1993,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,8244,22.586
1993,pp-melbourne-demons--garry-lyon,Garry Lyon,1967-09-13,193,96,9596,26.29
1993,pp-geelong-cats--garry-hocking,Garry Hocking,1968-10-08,182,84,9205,25.219
1993,pp-geelong-cats--gary-ablett,Gary Ablett,1961-10-01,185,97,11769,32.244
1993,pp-adelaide-crows--tony-modra,Tony Modra,1969-03-01,188,95,9061,24.825
1993,pp-melbourne-demons--jim-stynes,Jim Stynes,1966-04-23,199,99,10104,27.682
1993,pp-hawthorn-hawks--ben-allan,Ben Allan,1968-10-15,182,83,9198,25.2
1993,pp-adelaide-crows--tony-mcguinness,Tony McGuinness,1964-05-06,176,76,10821,29.647
1993,pp-adelaide-crows--nigel-smart,Nigel Smart,1969-05-21,188,91,8980,24.603
1993,pp-st-kilda-saints--nathan-burke,Nathan Burke,1970-02-06,180,85,8719,23.888
1994,pp-west-coast-eagles--david-hart,David Hart,1964-03-03,176,83,11250,30.822
1994,pp-carlton-blues--stephen-silvagni,Stephen Silvagni,1967-05-31,194,95,10066,27.578
1994,pp-hawthorn-hawks--chris-langford,Chris Langford,1963-01-02,193,96,11676,31.989
1994,pp-west-coast-eagles--guy-mckenna,Guy McKenna,1969-05-11,184,88,9355,25.63
1994,pp-west-coast-eagles--glen-jakovich,Glen Jakovich,1973-03-24,193,102,7942,21.759
1994,pp-geelong-cats--michael-mansfield,Michael Mansfield,1971-08-08,183,85,8536,23.386
1994,pp-melbourne-demons--stephen-tingay,Stephen Tingay,1970-08-13,181,85,8896,24.373
1994,pp-carlton-blues--greg-williams,Greg Williams,1963-09-30,176,86,11405,31.247
1994,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,9393,25.734
1994,pp-collingwood-magpies--gavin-brown,Gavin Brown,1967-09-25,184,86,9949,27.258
1994,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,8609,23.586
1994,pp-melbourne-demons--garry-lyon,Garry Lyon,1967-09-13,193,96,9961,27.29
1994,pp-hawthorn-hawks--jason-dunstall,Jason Dunstall,1964-08-14,188,98,11086,30.373
1994,pp-geelong-cats--gary-ablett,Gary Ablett,1961-10-01,185,97,12134,33.244
1994,pp-hawthorn-hawks--ben-allan,Ben Allan,1968-10-15,182,83,9563,26.2
1994,pp-adelaide-crows--shaun-rehn,Shaun Rehn,1971-08-17,203,106,8527,23.362
1994,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,8523,23.351
1994,pp-geelong-cats--garry-hocking,Garry Hocking,1968-10-08,182,84,9570,26.219
1994,pp-adelaide-crows--mark-ricciuto,Mark Ricciuto,1975-06-08,184,92,7136,19.551
1994,pp-carlton-blues--craig-bradley,Craig Bradley,1963-10-23,180,81,11382,31.184
1994,pp-carlton-blues--stephen-kernahan,Stephen Kernahan,1963-09-01,196,102,11434,31.326
1995,pp-essendon-bombers--gavin-wanganeen,Gavin Wanganeen,1973-06-16,181,83,8223,22.529
1995,pp-carlton-blues--stephen-silvagni,Stephen Silvagni,1967-05-31,194,95,10431,28.578
1995,pp-carlton-blues--ang-christou,Ang Christou,1972-01-16,190,90,8740,23.945
1995,pp-geelong-cats--michael-mansfield,Michael Mansfield,1971-08-08,183,85,8901,24.386
1995,pp-west-coast-eagles--glen-jakovich,Glen Jakovich,1973-03-24,193,102,8307,22.759
1995,pp-richmond-tigers--wayne-campbell,Wayne Campbell,1972-09-23,189,88,8489,23.258
1995,pp-st-kilda-saints--nicky-winmar,Nicky Winmar,1965-09-25,183,81,11044,30.258
1995,pp-geelong-cats--paul-couch,Paul Couch,1964-07-19,180,82,11477,31.444
1995,pp-essendon-bombers--michael-long,Michael Long,1969-10-01,178,80,9577,26.238
1995,pp-melbourne-demons--garry-lyon,Garry Lyon,1967-09-13,193,96,10326,28.29
1995,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,8974,24.586
1995,pp-essendon-bombers--james-hird,James Hird,1973-02-04,188,90,8355,22.89
1995,pp-hawthorn-hawks--darren-jarman,Darren Jarman,1967-01-28,186,92,10554,28.915
1995,pp-geelong-cats--gary-ablett,Gary Ablett,1961-10-01,185,97,12499,34.244
1995,pp-sydney-swans--tony-lockett,Tony Lockett,1966-03-09,191,108,10879,29.805
1995,pp-carlton-blues--justin-madden,Justin Madden,1961-05-31,206,107,12622,34.581
1995,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,8888,24.351
1995,pp-carlton-blues--craig-bradley,Craig Bradley,1963-10-23,180,81,11747,32.184
1995,pp-carlton-blues--anthony-koutoufides,Anthony Koutoufides,1973-01-18,191,99,8372,22.937
1995,pp-melbourne-demons--david-neitz,David Neitz,1975-01-22,191,100,7638,20.926
1995,pp-sydney-swans--paul-kelly,Paul Kelly,1969-07-28,179,83,9642,26.416
1996,pp-st-kilda-saints--nathan-burke,Nathan Burke,1970-02-06,180,85,9815,26.89
1996,pp-carlton-blues--stephen-silvagni,Stephen Silvagni,1967-05-31,194,95,10797,29.581
1996,pp-carlton-blues--michael-sexton,Michael Sexton,1971-03-05,192,92,9423,25.816
1996,pp-collingwood-magpies--nathan-buckley,Nathan Buckley,1972-07-26,186,92,8914,24.422
1996,pp-sydney-swans--paul-roos,Paul Roos,1963-06-27,188,88,12231,33.51
1996,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,10124,27.737
1996,pp-west-coast-eagles--chris-mainwaring,Chris Mainwaring,1965-12-27,177,85,11317,31.005
1996,pp-sydney-swans--paul-kelly,Paul Kelly,1969-07-28,179,83,10008,27.419
1996,pp-hawthorn-hawks--shane-crawford,Shane Crawford,1974-09-09,174,80,8139,22.299
1996,pp-essendon-bombers--james-hird,James Hird,1973-02-04,188,90,8721,23.893
1996,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,9340,25.589
1996,pp-west-coast-eagles--mitchell-white,Mitchell White,1973-03-28,190,96,8669,23.751
1996,pp-brisbane-lions--michael-voss,Michael Voss,1975-07-07,183,88,7838,21.474
1996,pp-sydney-swans--tony-lockett,Tony Lockett,1966-03-09,191,108,11245,30.808
1996,pp-adelaide-crows--darren-jarman,Darren Jarman,1967-01-28,186,92,10920,29.918
1996,pp-kangaroos--corey-mckernan,Corey McKernan,1973-12-19,197,105,8403,23.022
1996,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,9254,25.353
1996,pp-brisbane-lions--craig-lambert,Craig Lambert,1968-10-05,178,84,10304,28.23
1996,pp-geelong-cats--garry-hocking,Garry Hocking,1968-10-08,182,84,10301,28.222
1996,pp-kangaroos--glenn-archer,Glenn Archer,1973-03-24,182,92,8673,23.762
1996,pp-richmond-tigers--matthew-richardson,Matthew Richardson,1975-03-19,195,104,7948,21.775
1997,pp-kangaroos--david-king-2,David King,1972-03-07,183,94,9420,25.808
1997,pp-carlton-blues--stephen-silvagni,Stephen Silvagni,1967-05-31,194,95,11162,30.581
1997,pp-sydney-swans--paul-roos,Paul Roos,1963-06-27,188,88,12596,34.51
1997,pp-west-coast-eagles--peter-matera,Peter Matera,1969-04-03,183,89,10489,28.737
1997,pp-carlton-blues--michael-sexton,Michael Sexton,1971-03-05,192,92,9788,26.816
1997,pp-port-adelaide-power--adam-heuskes,Adam Heuskes,1976-03-20,190,93,7946,21.77
1997,pp-st-kilda-saints--austinn-jones,Austinn Jones,1976-09-28,176,82,7754,21.244
1997,pp-carlton-blues--craig-bradley,Craig Bradley,1963-10-23,180,81,12478,34.186
1997,pp-collingwood-magpies--nathan-buckley,Nathan Buckley,1972-07-26,186,92,9279,25.422
1997,pp-western-bulldogs--rohan-smith,Rohan Smith,1973-05-31,184,80,8970,24.575
1997,pp-western-bulldogs--chris-grant,Chris Grant,1972-12-13,193,98,9139,25.038
1997,pp-sydney-swans--michael-o-loughlin,Michael O'Loughlin,1977-02-20,189,90,7609,20.847
1997,pp-west-coast-eagles--fraser-gehrig,Fraser Gehrig,1976-03-03,195,104,7963,21.816
1997,pp-adelaide-crows--tony-modra,Tony Modra,1969-03-01,188,95,10522,28.827
1997,pp-sydney-swans--paul-kelly,Paul Kelly,1969-07-28,179,83,10373,28.419
1997,pp-hawthorn-hawks--paul-salmon,Paul Salmon,1965-01-20,205,112,12023,32.94
1997,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,9619,26.353
1997,pp-st-kilda-saints--nathan-burke,Nathan Burke,1970-02-06,180,85,10180,27.89
1997,pp-adelaide-crows--mark-ricciuto,Mark Ricciuto,1975-06-08,184,92,8232,22.553
1997,pp-st-kilda-saints--peter-everitt,Peter Everitt,1974-05-03,201,102,8633,23.652
1997,pp-sydney-swans--daryn-cresswell,Daryn Cresswell,1971-05-22,183,84,9710,26.603
1998,pp-kangaroos--david-king-2,David King,1972-03-07,183,94,9785,26.808
1998,pp-west-coast-eagles--ashley-mcintosh,Ashley McIntosh,1972-10-20,192,97,9558,26.186
1998,pp-kangaroos--glenn-archer,Glenn Archer,1973-03-24,182,92,9403,25.762
1998,pp-collingwood-magpies--nathan-buckley,Nathan Buckley,1972-07-26,186,92,9644,26.422
1998,pp-essendon-bombers--sean-wellman,Sean Wellman,1974-09-20,193,90,8858,24.268
1998,pp-adelaide-crows--nigel-smart,Nigel Smart,1969-05-21,188,91,10806,29.605
1998,pp-richmond-tigers--matthew-knights,Matthew Knights,1970-10-05,178,79,10304,28.23
1998,pp-western-bulldogs--scott-west,Scott West,1974-11-14,178,83,8803,24.118
1998,pp-hawthorn-hawks--shane-crawford,Shane Crawford,1974-09-09,174,80,8869,24.299
1998,pp-western-bulldogs--paul-hudson,Paul Hudson,1970-07-20,185,88,10381,28.441
1998,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,10070,27.589
1998,pp-adelaide-crows--mark-ricciuto,Mark Ricciuto,1975-06-08,184,92,8597,23.553
1998,pp-west-coast-eagles--ben-cousins,Ben Cousins,1978-06-30,179,78,7479,20.49
1998,pp-sydney-swans--tony-lockett,Tony Lockett,1966-03-09,191,108,11975,32.808
1998,pp-essendon-bombers--matthew-lloyd,Matthew Lloyd,1978-04-16,192,93,7554,20.696
1998,pp-st-kilda-saints--peter-everitt,Peter Everitt,1974-05-03,201,102,8998,24.652
1998,pp-melbourne-demons--todd-viney,Todd Viney,1966-03-30,183,92,11954,32.751
1998,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,9984,27.353
1998,pp-western-bulldogs--chris-grant,Chris Grant,1972-12-13,193,98,9504,26.038
1998,pp-adelaide-crows--andrew-mcleod,Andrew McLeod,1976-08-04,181,82,8174,22.395
1998,pp-adelaide-crows--shaun-rehn,Shaun Rehn,1971-08-17,203,106,9988,27.364
1998,pp-kangaroos--anthony-stevens,Anthony Stevens,1971-07-02,178,81,10034,27.49
1999,pp-brisbane-lions--jason-akermanis,Jason Akermanis,1977-02-24,177,85,8335,22.836
1999,pp-brisbane-lions--justin-leppitsch,Justin Leppitsch,1975-10-01,191,97,8847,24.238
1999,pp-adelaide-crows--ben-hart,Ben Hart,1974-07-09,190,83,9296,25.468
1999,pp-kangaroos--byron-pickett,Byron Pickett,1977-08-11,179,86,8167,22.375
1999,pp-carlton-blues--stephen-silvagni,Stephen Silvagni,1967-05-31,194,95,11892,32.581
1999,pp-carlton-blues--andrew-mckay,Andrew McKay,1970-07-14,185,90,10752,29.458
1999,pp-western-bulldogs--brad-johnson,Brad Johnson,1976-07-18,182,87,8556,23.441
1999,pp-collingwood-magpies--nathan-buckley,Nathan Buckley,1972-07-26,186,92,10009,27.422
1999,pp-sydney-swans--wayne-schwass,Wayne Schwass,1968-11-27,180,80,11346,31.085
1999,pp-essendon-bombers--mark-mercuri,Mark Mercuri,1974-02-21,178,77,9434,25.847
1999,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,10435,28.589
1999,pp-brisbane-lions--michael-voss,Michael Voss,1975-07-07,183,88,8933,24.474
1999,pp-west-coast-eagles--ben-cousins,Ben Cousins,1978-06-30,179,78,7844,21.49
1999,pp-essendon-bombers--matthew-lloyd,Matthew Lloyd,1978-04-16,192,93,7919,21.696
1999,pp-richmond-tigers--matthew-richardson,Matthew Richardson,1975-03-19,195,104,9043,24.775
1999,pp-carlton-blues--matthew-allan,Matthew Allan,1975-02-26,198,104,9064,24.833
1999,pp-st-kilda-saints--robert-harvey,Robert Harvey,1971-08-21,181,86,10349,28.353
1999,pp-hawthorn-hawks--shane-crawford,Shane Crawford,1974-09-09,174,80,9234,25.299
1999,pp-kangaroos--peter-bell,Peter Bell,1976-03-01,175,81,8695,23.822
1999,pp-st-kilda-saints--nathan-burke,Nathan Burke,1970-02-06,180,85,10910,29.89
1999,pp-richmond-tigers--wayne-campbell,Wayne Campbell,1972-09-23,189,88,9950,27.26
1999,pp-western-bulldogs--chris-grant,Chris Grant,1972-12-13,193,98,9869,27.038
2000,pp-essendon-bombers--damien-hardwick,Damien Hardwick,1972-08-18,180,82,10352,28.362
2000,pp-essendon-bombers--dustin-fletcher,Dustin Fletcher,1975-05-07,198,92,9360,25.644
2000,pp-richmond-tigers--andrew-kellaway,Andrew Kellaway,1975-11-23,190,90,9160,25.096
2000,pp-carlton-blues--andrew-mckay,Andrew McKay,1970-07-14,185,90,11118,30.46
2000,pp-richmond-tigers--darren-gaspar,Darren Gaspar,1976-05-20,192,88,8981,24.605
2000,pp-adelaide-crows--simon-goodwin,Simon Goodwin,1976-12-26,185,86,8761,24.003
2000,pp-western-bulldogs--scott-west,Scott West,1974-11-14,178,83,9534,26.121
2000,pp-carlton-blues--brett-ratten,Brett Ratten,1971-07-11,184,88,10756,29.468
2000,pp-carlton-blues--scott-camporeale,Scott Camporeale,1975-08-11,180,80,9264,25.381
2000,pp-adelaide-crows--andrew-mcleod,Andrew McLeod,1976-08-04,181,82,8905,24.397
2000,pp-kangaroos--wayne-carey,Wayne Carey,1971-05-27,192,97,10801,29.592
2000,pp-essendon-bombers--james-hird,James Hird,1973-02-04,188,90,10182,27.896
2000,pp-melbourne-demons--jeff-farmer,Jeff Farmer,1977-06-24,175,78,8581,23.51
2000,pp-essendon-bombers--matthew-lloyd,Matthew Lloyd,1978-04-16,192,93,8285,22.699
2000,pp-sydney-swans--michael-o-loughlin,Michael O'Loughlin,1977-02-20,189,90,8705,23.849
2000,pp-geelong-cats--steven-king,Steven King,1978-11-22,201,104,8065,22.096
2000,pp-carlton-blues--anthony-koutoufides,Anthony Koutoufides,1973-01-18,191,99,10199,27.942
2000,pp-collingwood-magpies--nathan-buckley,Nathan Buckley,1972-07-26,186,92,10375,28.425
2000,pp-carlton-blues--lance-whitnall,Lance Whitnall,1979-08-23,192,100,7791,21.345
2000,pp-kangaroos--brent-harvey,Brent Harvey,1978-05-14,167,75,8257,22.622
2000,pp-adelaide-crows--mark-ricciuto,Mark Ricciuto,1975-06-08,184,92,9328,25.556
2000,pp-western-bulldogs--brad-johnson,Brad Johnson,1976-07-18,182,87,8922,24.444
2001,pp-port-adelaide-power--gavin-wanganeen,Gavin Wanganeen,1973-06-16,181,83,10415,28.534
2001,pp-hawthorn-hawks--jonathan-hay,Jonathan Hay,1979-08-13,194,92,8166,22.373
2001,pp-richmond-tigers--darren-gaspar,Darren Gaspar,1976-05-20,192,88,9346,25.605
2001,pp-hawthorn-hawks--joel-smith,Joel Smith,1977-05-03,185,88,8998,24.652
2001,pp-essendon-bombers--sean-wellman,Sean Wellman,1974-09-20,193,90,9954,27.271
2001,pp-carlton-blues--andrew-mckay,Andrew McKay,1970-07-14,185,90,11483,31.46
2001,pp-brisbane-lions--jason-akermanis,Jason Akermanis,1977-02-24,177,85,9066,24.838
2001,pp-carlton-blues--brett-ratten,Brett Ratten,1971-07-11,184,88,11121,30.468
2001,pp-collingwood-magpies--nathan-buckley,Nathan Buckley,1972-07-26,186,92,10740,29.425
2001,pp-brisbane-lions--michael-voss,Michael Voss,1975-07-07,183,88,9664,26.477
2001,pp-port-adelaide-power--warren-tredrea,Warren Tredrea,1978-12-24,194,96,8398,23.008
2001,pp-essendon-bombers--james-hird,James Hird,1973-02-04,188,90,10547,28.896
2001,pp-richmond-tigers--brad-ottens,Brad Ottens,1980-01-25,202,106,8001,21.921
2001,pp-essendon-bombers--matthew-lloyd,Matthew Lloyd,1978-04-16,192,93,8650,23.699
2001,pp-west-coast-eagles--ben-cousins,Ben Cousins,1978-06-30,179,78,8575,23.493
2001,pp-port-adelaide-power--matthew-primus,Matthew Primus,1975-01-12,198,109,9840,26.959
2001,pp-brisbane-lions--simon-black,Simon Black,1979-04-03,185,81,8298,22.734
2001,pp-adelaide-crows--andrew-mcleod,Andrew McLeod,1976-08-04,181,82,9270,25.397
2001,pp-western-bulldogs--nathan-g--brown,Nathan G. Brown,1978-02-10,182,80,8715,23.877
2001,pp-adelaide-crows--simon-goodwin,Simon Goodwin,1976-12-26,185,86,9126,25.003
2001,pp-essendon-bombers--jason-johnson,Jason Johnson,1978-01-25,180,85,8731,23.921
2001,pp-brisbane-lions--nigel-lappin,Nigel Lappin,1976-06-21,188,86,9314,25.518
2002,pp-brisbane-lions--chris-johnson,Chris Johnson,1976-05-30,180,88,9701,26.578
2002,pp-fremantle-dockers--matthew-pavlich,Matthew Pavlich,1981-12-31,192,99,7660,20.986
2002,pp-kangaroos--glenn-archer,Glenn Archer,1973-03-24,182,92,10864,29.764
2002,pp-port-adelaide-power--brett-montgomery,Brett Montgomery,1973-06-01,180,83,10795,29.575
2002,pp-brisbane-lions--justin-leppitsch,Justin Leppitsch,1975-10-01,191,97,9943,27.241
2002,pp-adelaide-crows--ben-hart,Ben Hart,1974-07-09,190,83,10392,28.471
2002,pp-brisbane-lions--jason-akermanis,Jason Akermanis,1977-02-24,177,85,9431,25.838
2002,pp-brisbane-lions--simon-black,Simon Black,1979-04-03,185,81,8663,23.734
