name,href,dob,height,weight,position,draft,sc
"Aarts, Jake",pp-richmond-tigers--jake-aarts,1994-12-08,177,75,Forward,16,123900
"Abbott, Ryan",pp-st-kilda-saints--ryan-abbott,1991-06-25,200,100,Ruck,69,250900
"Ablett, Gary",pp-geelong-cats--gary-jnr-ablett,1984-05-14,182,87,Forward,40,519500
"Acres, Blake",pp-fremantle-dockers--blake-acres,1995-10-07,191,90,"Midfield, Forward",19,384400
"Adams, Marcus",pp-brisbane-lions--marcus-adams,1993-06-30,192,93,Defender,35,316300
"Adams, Taylor",pp-collingwood-magpies--taylor-adams,1993-09-20,181,83,Midfield,13,525100
"Ah Chee, Brendon",pp-west-coast-eagles--brendon-ah-chee,1993-12-21,189,88,Midfield,33,266100
"Ah Chee, Callum",pp-brisbane-lions--callum-ah-chee,1997-10-09,182,78,Midfield,8,311700
"Ahern, Paul",pp-kangaroos--paul-ahern,1996-08-01,183,85,"Defender, Midfield",7,337900
"Ainsworth, Ben",pp-gold-coast-suns--ben-ainsworth,1998-02-10,178,77,"Midfield, Forward",4,329000
"Ainsworth, Brayden",pp-west-coast-eagles--brayden-ainsworth,1998-11-21,184,80,Midfield,32,205300
"Aish, James",pp-fremantle-dockers--james-aish,1995-11-08,183,80,Defender,7,353000
"Alabakis, Sam",pp-st-kilda-saints--sam-alabakis,1997-05-02,211,105,Ruck,NA,123900
"Aliir, Aliir",pp-sydney-swans--aliir-aliir,1994-09-05,195,97,Defender,44,421100
"Allen, Oscar",pp-west-coast-eagles--oscar-allen,1999-03-19,192,87,Forward,21,357900
"Allison, Jacob",pp-brisbane-lions--jacob-allison,1998-04-16,195,87,Midfield,21,176800
"Amartey, Joel",pp-sydney-swans--joel-amartey,1999-09-02,197,96,Ruck,28,123900
"Ambrose, Patrick",pp-essendon-bombers--patrick-ambrose,1991-09-01,191,92,Defender,26,275200
"Amon, Karl",pp-port-adelaide-power--karl-amon,1995-08-19,181,71,Midfield,68,418500
"Anderson, Jed",pp-kangaroos--jed-anderson,1994-02-02,179,81,Midfield,NA,470200
"Anderson, Noah",pp-gold-coast-suns--noah-anderson,2001-02-17,188,86,Midfield,2,202800
"Andrews, Harris",pp-brisbane-lions--harris-andrews,1996-12-11,201,100,Defender,61,449300
"Answerth, Noah",pp-brisbane-lions--noah-answerth,1999-08-06,182,82,Defender,55,336700
"Appleby, Flynn",pp-collingwood-magpies--flynn-appleby,1999-01-21,187,86,Defender,6,222900
"Ash, Lachlan",pp-greater-western-sydney-giants--lachlan-ash,2001-06-21,186,80,"Defender, Midfield",4,193800
"Astbury, David",pp-richmond-tigers--david-astbury,1991-02-26,195,96,Defender,35,363800
"Atkins, Rory",pp-adelaide-crows--rory-atkins,1994-07-12,186,85,Midfield,81,410000
"Atkins, Tom",pp-geelong-cats--tom-atkins,1995-09-18,180,86,Forward,11,327200
"Atley, Joe",pp-port-adelaide-power--joe-atley,1998-08-04,186,84,Midfield,32,215000
"Atley, Shaun",pp-kangaroos--shaun-atley,1992-09-13,189,86,Defender,17,403700
"Austin, Logan",pp-st-kilda-saints--logan-austin,1995-07-08,196,92,Defender,69,320900
"Bailey, Zac",pp-brisbane-lions--zac-bailey,1999-09-23,182,83,"Defender, Midfield",15,263200
"Baker, Liam",pp-richmond-tigers--liam-baker,1998-01-27,173,72,"Defender, Forward",18,403900
"Baker, Oskar",pp-melbourne-demons--oskar-baker,1998-05-25,184,82,Midfield,48,261900
"Ballard, Charlie",pp-gold-coast-suns--charlie-ballard,1999-07-23,195,91,Defender,42,325800
"Ballenden, Connor",pp-brisbane-lions--connor-ballenden,1999-03-29,200,101,Forward,43,123900
"Balta, Noah",pp-richmond-tigers--noah-balta,1999-10-23,194,100,"Forward, Ruck",25,257700
"Banfield, Bailey",pp-fremantle-dockers--bailey-banfield,1998-02-26,190,92,Forward,5,266700
"Barrass, Tom",pp-west-coast-eagles--tom-barrass,1995-10-08,196,96,Defender,43,424500
"Battle, Josh",pp-st-kilda-saints--josh-battle,1998-09-01,193,92,Defender,39,390100
"Beams, Dayne",pp-collingwood-magpies--dayne-beams,1990-02-12,187,88,Midfield,29,441700
"Bedford, Toby",pp-melbourne-demons--toby-bedford,2000-05-27,178,69,Forward,75,123900
"Begley, Joshua",pp-essendon-bombers--joshua-begley,1998-07-03,188,97,Forward,31,289200
"Bell, Jack",pp-st-kilda-saints--jack-bell,2001-01-26,200,73,Ruck,5,121900
"Bell, James",pp-sydney-swans--james-bell,1999-02-10,183,81,"Midfield, Forward",NA,129500
"Bellchambers, Tom",pp-essendon-bombers--tom-bellchambers,1989-07-09,202,108,Ruck,8,460500
"Bennell, Harley",pp-melbourne-demons--harley-bennell,1992-10-02,185,85,Midfield,2,123900
"Bergman, Miles",pp-port-adelaide-power--miles-bergman,2001-10-18,186,75,Forward,14,148800
"Berry, Jarrod",pp-brisbane-lions--jarrod-berry,1998-02-05,193,89,Midfield,17,461300
"Berry, Thomas",pp-brisbane-lions--thomas-berry,2000-05-01,185,76,Forward,36,123900
"Betts, Eddie",pp-carlton-blues--edward-betts,1986-11-26,174,74,Forward,3,337500
"Bewley, Brett",pp-fremantle-dockers--brett-bewley,1995-04-14,185,87,Forward,59,252700
"Bews, Jed",pp-geelong-cats--jed-bews,1993-12-14,186,88,Defender,86,304700
"Bianco, Trent",pp-collingwood-magpies--trent-bianco,2001-01-20,178,70,"Defender, Midfield",45,117300
"Billings, Jack",pp-st-kilda-saints--jack-billings,1995-08-18,184,79,Midfield,3,509500
"Birchall, Grant",pp-brisbane-lions--grant-birchall,1988-01-28,193,89,Defender,14,292700
"Blakely, Connor",pp-fremantle-dockers--connor-blakely,1996-03-02,188,90,Defender,34,411500
"Blakey, Nick",pp-sydney-swans--nick-blakey,2000-02-27,195,80,Forward,10,295800
"Blicavs, Mark",pp-geelong-cats--mark-blicavs,1991-03-28,198,100,Defender,54,449200
"Boak, Travis",pp-port-adelaide-power--travis-boak,1988-08-01,183,85,Midfield,5,582300
"Bolton, Shai",pp-richmond-tigers--shai-bolton,1998-12-08,175,77,Forward,29,379100
"Bonar, Aiden",pp-kangaroos--aiden-bonar,1999-03-08,188,87,"Midfield, Forward",11,202800
"Bonner, Riley",pp-port-adelaide-power--riley-bonner,1997-03-07,190,85,Defender,37,375500
"Bontempelli, Marcus",pp-western-bulldogs--marcus-bontempelli,1995-11-24,193,93,Midfield,4,623000
"Bosenavulagi, Atu",pp-collingwood-magpies--atu-bosenavulagi,2000-09-17,180,82,Forward,77,123900
"Bowes, Jack",pp-gold-coast-suns--jack-bowes,1998-01-26,187,85,Midfield,10,411300
"Bradtke, Austin",pp-melbourne-demons--austin-bradtke,2000-05-27,204,91,Ruck,NA,123900
"Brand, Kaiden",pp-sydney-swans--kaiden-brand,1994-04-08,198,98,Defender,66,250200
"Brander, Jarrod",pp-west-coast-eagles--jarrod-brander,1999-02-11,195,92,"Defender, Forward",13,133000
"Brayshaw, Andrew",pp-fremantle-dockers--andrew-brayshaw,1999-11-08,184,84,"Midfield, Forward",2,382800
"Brayshaw, Angus",pp-melbourne-demons--angus-brayshaw,1996-01-09,187,87,Midfield,3,452400
"Brayshaw, Hamish",pp-west-coast-eagles--hamish-brayshaw,1998-02-09,187,90,Midfield,39,102400
"Breust, Luke",pp-hawthorn-hawks--luke-breust,1990-11-11,184,84,Forward,77,418100
"Briggs, Kieren",pp-greater-western-sydney-giants--kieren-briggs,1999-10-06,200,103,"Defender, Forward",34,123900
"Broad, Nathan",pp-richmond-tigers--nathan-broad,1993-04-15,192,89,Defender,67,294800
"Brodie, Will",pp-gold-coast-suns--will-brodie,1998-08-23,189,89,Midfield,9,435800
"Brooksby, Keegan",pp-hawthorn-hawks--keegan-brooksby,1990-04-27,197,105,Ruck,4,117300
"Broomhead, Timothy",pp-collingwood-magpies--timothy-broomhead,1994-03-22,182,84,"Midfield, Forward",17,242200
"Brown, Ben",pp-kangaroos--ben-brown,1992-11-20,200,101,Forward,47,432000
"Brown, Callum",pp-collingwood-magpies--callum-brown,1998-04-27,178,77,Forward,35,370900
"Brown, Callum",pp-greater-western-sydney-giants--callum-brown-1,2000-08-15,188,91,Defender,NA,123900
"Brown, Luke",pp-adelaide-crows--luke-brown,1992-09-22,181,81,Defender,NA,369300
"Brown, Mitchell",pp-melbourne-demons--mitchell-brown-1,1990-08-28,196,95,Forward,54,359800
"Brown, Nathan",pp-st-kilda-saints--nathan-brown,1988-12-17,196,99,Defender,10,289500
"Brown, Tyler",pp-collingwood-magpies--tyler-brown,1999-12-09,188,77,Midfield,50,123900
"Brownless, Oscar",pp-geelong-cats--oscar-brownless,2000-02-16,186,75,Forward,27,102400
"Bruce, Josh",pp-western-bulldogs--josh-bruce,1992-06-08,197,101,Forward,NA,358200
"Bryan, Nick",pp-essendon-bombers--nick-bryan,2001-10-22,202,87,Ruck,38,117300
"Buckley, Jack",pp-greater-western-sydney-giants--jack-buckley,1997-12-17,193,87,"Midfield, Forward",NA,123900
"Budarick, Connor",pp-gold-coast-suns--connor-budarick,2001-04-06,175,72,"Midfield, Forward",16,106900
"Buntine, Matthew",pp-greater-western-sydney-giants--matthew-buntine,1993-10-19,189,84,"Defender, Forward",5,285400
"Burgess, Chris",pp-gold-coast-suns--chris-burgess,1995-11-26,191,82,Defender,NA,265300
"Burgoyne, Shaun",pp-hawthorn-hawks--shaun-burgoyne,1982-10-21,186,89,Defender,12,417200
"Burgoyne, Trent",pp-port-adelaide-power--trent-burgoyne,2001-10-02,177,70,Forward,22,102400
"Burton, Ryan",pp-port-adelaide-power--ryan-burton,1997-01-31,191,90,Defender,19,401800
"Butler, Daniel",pp-st-kilda-saints--daniel-butler,1996-06-03,182,80,Forward,67,234600
"Butler, Louis",pp-western-bulldogs--louis-butler,2001-08-26,184,75,"Defender, Midfield",53,117300
"Butters, Isaiah",pp-fremantle-dockers--isaiah-butters,2001-09-16,187,76,Forward,NA,102400
"Butters, Zak",pp-port-adelaide-power--zak-butters,2000-09-08,181,71,Forward,12,328700
"Butts, Jordon",pp-adelaide-crows--jordon-butts,1999-12-31,198,83,Defender,39,123900
"Buzza, Wylie",pp-port-adelaide-power--wylie-buzza,1996-03-02,199,103,Forward,69,142300
"Byrne-Jones, Darcy",pp-port-adelaide-power--darcy-byrne-jones,1995-09-20,181,75,Defender,52,473400
"Byrnes, Ryan",pp-st-kilda-saints--ryan-byrnes,2001-05-03,181,80,Midfield,52,117300
"Bytel, Jack",pp-st-kilda-saints--jack-bytel,2000-03-14,189,78,Midfield,41,123900
"Caddy, Josh",pp-richmond-tigers--josh-caddy,1992-09-28,186,87,"Midfield, Forward",7,407300
"Cahill, Ned",pp-essendon-bombers--ned-cahill,2001-01-11,178,77,"Midfield, Forward",56,117300
"Caldwell, Jye",pp-greater-western-sydney-giants--jye-caldwell,2000-09-28,183,82,Midfield,11,190100
"Cameron, Charlie",pp-brisbane-lions--charlie-cameron,1994-07-05,181,74,Forward,7,433200
"Cameron, Darcy",pp-collingwood-magpies--darcy-cameron,1995-07-18,205,103,"Forward, Ruck",48,123900
"Cameron, Jarrod",pp-west-coast-eagles--jarrod-cameron,2000-05-03,182,70,Forward,39,278600
"Cameron, Jeremy",pp-greater-western-sydney-giants--jeremy-cameron,1993-04-01,196,96,Forward,NA,503900
"Campbell, Tom",pp-kangaroos--tom-campbell,1991-11-02,201,105,"Forward, Ruck",98,199600
"Carlisle, Jake",pp-st-kilda-saints--jake-carlisle,1991-10-01,200,106,Defender,24,328500
"Carter, Jason",pp-fremantle-dockers--jason-carter-1,2000-01-11,185,76,Defender,NA,141200
"Casboult, Levi",pp-carlton-blues--levi-casboult,1990-03-15,201,101,"Defender, Forward",89,403500
"Castagna, Jason",pp-richmond-tigers--jason-castagna,1996-07-12,181,82,Forward,29,360700
"Cavarra, Ben",pp-western-bulldogs--ben-cavarra,1995-12-20,173,72,Forward,45,123900
"Ceglar, Jonathon",pp-hawthorn-hawks--jonathon-ceglar,1991-02-14,204,102,"Forward, Ruck",59,417000
"Cerra, Adam",pp-fremantle-dockers--adam-cerra,1999-10-07,188,84,Defender,5,338900
"Chandler, Kade",pp-melbourne-demons--kade-chandler,2000-01-13,174,75,Forward,15,195500
"Chol, Mabior",pp-richmond-tigers--mabior-chol,1997-01-29,200,91,"Forward, Ruck",45,316200
"Christensen, Allen",pp-brisbane-lions--allen-christensen,1991-05-19,176,79,Forward,40,367800
"Clark, Hunter",pp-st-kilda-saints--hunter-clark,1999-03-26,187,82,Defender,7,402200
"Clark, Jordan",pp-geelong-cats--jordan-clark,2000-10-16,185,78,Midfield,15,330900
"Clarke, Dylan",pp-essendon-bombers--dylan-clarke,1998-09-06,187,87,Midfield,63,352000
"Clarke, Ryan",pp-sydney-swans--ryan-clarke,1997-06-17,186,85,Midfield,31,309100
"Clavarino, Oscar",pp-st-kilda-saints--oscar-clavarino,1999-05-22,197,89,Defender,35,123900
"Close, Bradley",pp-geelong-cats--bradley-close,1998-07-30,181,68,"Midfield, Forward",14,109900
"Clurey, Tom",pp-port-adelaide-power--tom-clurey,1994-03-23,193,88,Defender,29,401800
"Cockatoo, Nakia",pp-geelong-cats--nakia-cockatoo,1996-10-23,186,90,"Midfield, Forward",10,148200
"Coffield, Nicholas",pp-st-kilda-saints--nicholas-coffield,1999-10-23,191,86,Defender,8,309500
"Cole, Tom",pp-west-coast-eagles--tom-cole,1997-05-28,186,81,Defender,36,311500
"Coleman, Keidean",pp-brisbane-lions--keidean-coleman,2000-03-31,183,75,"Midfield, Forward",37,117300
"Coleman-Jones, Callum",pp-richmond-tigers--callum-coleman-jones,1999-06-13,200,102,"Forward, Ruck",20,195500
"Collier-Dawkins, Riley",pp-richmond-tigers--riley-collier-dawkins,2000-02-03,189,89,Midfield,20,123900
"Collins, Samuel",pp-gold-coast-suns--samuel-collins,1994-06-15,194,98,Defender,55,328200
"Colyer, Travis",pp-fremantle-dockers--travis-colyer,1991-08-24,175,77,Forward,26,292200
"Comben, Charlie",pp-kangaroos--charlie-comben,2001-07-20,199,82,"Forward, Ruck",31,117300
"Conca, Reece",pp-fremantle-dockers--reece-conca,1992-08-12,181,84,Midfield,6,372000
"Coniglio, Stephen",pp-greater-western-sydney-giants--stephen-coniglio,1993-12-15,182,86,Midfield,2,549500
"Connolly, Leo",pp-st-kilda-saints--leo-connolly,2001-08-07,181,74,"Defender, Midfield",64,117300
"Conroy, Matt",pp-gold-coast-suns--matt-conroy,2000-07-11,199,85,Ruck,29,102400
"Constable, Charlie",pp-geelong-cats--charlie-constable,1999-05-18,191,86,Midfield,36,391000
"Corbett, Josh",pp-gold-coast-suns--josh-corbett,1996-04-23,190,90,Forward,NA,227500
"Cordy, Zaine",pp-western-bulldogs--zaine-cordy,1996-10-27,193,90,Defender,62,275500
"Corr, Aidan",pp-greater-western-sydney-giants--aidan-corr,1994-05-17,195,97,Defender,14,223700
"Cotchin, Trent",pp-richmond-tigers--trent-cotchin,1990-04-07,185,86,Midfield,2,429500
"Cottrell, Matt",pp-carlton-blues--matt-cottrell,2000-02-29,181,72,Defender,NA,123900
"Cousins, James",pp-hawthorn-hawks--james-cousins,1998-03-19,185,84,Midfield,46,376500
"Cox, Brennan",pp-fremantle-dockers--brennan-cox,1998-08-13,195,99,Forward,41,305500
"Cox, Cedric",pp-brisbane-lions--cedric-cox,1997-08-19,183,82,Forward,24,167300
"Cox, Mason",pp-collingwood-magpies--mason-cox,1991-03-14,211,105,Forward,60,293600
"Cox, Tobin",pp-port-adelaide-power--tobin-cox,1999-07-15,181,73,Forward,9,123900
"Crauford, Henry",pp-essendon-bombers--henry-crauford,1997-10-07,204,99,Ruck,NA,102400
"Cripps, Jamie",pp-west-coast-eagles--jamie-cripps,1992-04-23,183,84,Forward,24,413700
"Cripps, Patrick",pp-carlton-blues--patrick-cripps,1995-03-18,195,92,Midfield,13,635900
"Crisp, Jack",pp-collingwood-magpies--jack-crisp,1993-10-02,190,90,Defender,86,482800
"Crocker, Ben",pp-adelaide-crows--ben-crocker,1997-02-19,188,84,Forward,21,152000
"Crocker, Joel",pp-kangaroos--joel-crocker,2000-04-14,188,73,Defender,69,123900
"Crouch, Brad",pp-adelaide-crows--brad-crouch,1994-01-14,186,85,Midfield,2,534100
"Crouch, Matt",pp-adelaide-crows--matt-crouch,1995-04-21,182,80,Midfield,23,563000
"Crowden, Mitchell",pp-fremantle-dockers--mitchell-crowden,1999-04-28,176,84,Forward,59,272800
"Crozier, Hayden",pp-western-bulldogs--hayden-crozier,1993-12-24,185,79,Defender,20,406800
"Cumberland, Noah",pp-richmond-tigers--noah-cumberland,2001-03-15,183,79,"Midfield, Forward",43,117300
"Cumming, Isaac",pp-greater-western-sydney-giants--isaac-cumming,1998-08-11,184,83,Defender,20,245000
"Cuningham, David",pp-carlton-blues--david-cuningham,1997-03-30,185,85,Forward,23,360800
"Cunningham, Harry",pp-sydney-swans--harry-cunningham,1993-12-06,181,78,Defender,107,436200
"Cunnington, Ben",pp-kangaroos--ben-cunnington,1991-06-30,185,88,Midfield,5,554100
"Curnow, Charlie",pp-carlton-blues--charlie-curnow,1997-02-03,192,96,Forward,12,372200
"Curnow, Edward",pp-carlton-blues--edward-curnow,1989-11-07,180,85,Midfield,89,493200
"Cutler, Tom",pp-essendon-bombers--tom-cutler,1995-02-20,192,92,Midfield,33,296500
"Dahlhaus, Luke",pp-geelong-cats--luke-dahlhaus,1992-08-21,179,77,Forward,70,462400
"Daicos, Josh",pp-collingwood-magpies--josh-daicos,1998-11-26,178,76,Midfield,57,259000
"Dale, Bailey",pp-western-bulldogs--bailey-dale,1996-07-22,183,82,Forward,45,388000
"Dangerfield, Patrick",pp-geelong-cats--patrick-dangerfield,1990-04-05,189,92,Midfield,10,625500
"Daniel, Caleb",pp-western-bulldogs--caleb-daniel,1996-07-07,168,72,Defender,46,537900
"Daniels, Brent",pp-greater-western-sydney-giants--brent-daniels,1999-03-09,170,74,Forward,27,347300
"Daniher, Joe",pp-essendon-bombers--joe-daniher,1994-03-04,200,99,Forward,10,270400
"Darcy, Sean",pp-fremantle-dockers--sean-darcy,1998-06-12,202,113,Ruck,38,402800
"Darling, Jack",pp-west-coast-eagles--jack-darling,1992-06-13,191,95,Forward,26,458900
"Davies-Uniacke, Luke",pp-kangaroos--luke-davies-uniacke,1999-06-08,188,85,"Midfield, Forward",4,342100
"Davis, Ben",pp-adelaide-crows--ben-davis,1997-05-19,187,85,Forward,75,123900
"Davis, Phil",pp-greater-western-sydney-giants--phil-davis,1990-08-30,197,96,Defender,10,431600
"Daw, Majak",pp-kangaroos--majak-daw,1991-03-11,195,97,Defender,33,339600
"Dawson, Jacob",pp-gold-coast-suns--jacob-dawson,1999-11-03,182,82,Defender,NA,318500
"Dawson, Jordan",pp-sydney-swans--jordan-dawson,1997-04-09,192,86,"Defender, Forward",56,467800
"Day, Sam",pp-gold-coast-suns--sam-day,1992-09-06,197,104,Forward,3,369800
"Day, Will",pp-hawthorn-hawks--will-day,2001-06-05,187,70,Defender,13,153300
"De Boer, Matthew",pp-greater-western-sydney-giants--matthew-deboer,1990-03-10,189,87,Midfield,58,408000
"De Goey, Jordan",pp-collingwood-magpies--jordan-de-goey,1996-03-15,188,92,Forward,5,473800
"De Koning, Sam",pp-geelong-cats--sam-de-koning,2001-02-26,200,85,Defender,19,126300
"De Koning, Tom",pp-carlton-blues--tom-de-koning,1999-07-16,203,97,Ruck,30,123900
"Dickson, Tory",pp-western-bulldogs--tory-dickson,1987-09-26,184,85,Forward,57,330900
"Dixon, Charlie",pp-port-adelaide-power--charlie-dixon,1990-09-23,200,105,Forward,NA,350600
"Dixon, Hugh",pp-fremantle-dockers--hugh-dixon,1999-02-26,196,96,Forward,30,171100
"Docherty, Sam",pp-carlton-blues--sam-docherty,1993-10-17,187,87,Defender,12,436100
"Doedee, Tom",pp-adelaide-crows--tom-doedee,1997-03-01,188,88,Defender,17,273700
"Dow, Paddy",pp-carlton-blues--paddy-dow,1999-10-16,187,83,"Midfield, Forward",3,295500
"Dow, Thomson",pp-richmond-tigers--thomson-dow,2001-10-16,182,72,Midfield,21,117300
"Draper, Sam",pp-essendon-bombers--sam-draper,1998-09-28,205,107,Ruck,1,123900
"Drew, Willem",pp-port-adelaide-power--willem-drew,1998-10-01,188,78,Midfield,33,392600
"Duggan, Liam",pp-west-coast-eagles--liam-duggan,1996-12-11,184,83,Defender,11,353000
"Duman, Taylin",pp-fremantle-dockers--taylin-duman,1998-04-18,193,83,Defender,3,336300
"Dumont, Trent",pp-kangaroos--trent-dumont,1995-06-30,186,87,Midfield,30,455100
"Duncan, Mitchell",pp-geelong-cats--mitchell-duncan,1991-06-10,188,88,Midfield,28,560600
