Game,Season,Date,Round,Round.Number,Home.Points,Away.Points,HA.Name,Team,ByeRound,Margin,Result,Venue,Odds,Favourite,Opponent
14916,2016,2016-07-09,R16,16,139,113,Away.Team,Brisbane Lions,R15,-26,L,Metricon Stadium,4.73,N,Gold Coast
14918,2016,2016-07-09,R16,16,87,55,Away.Team,Fremantle,R15,-32,L,TIO Stadium,2.53,N,Melbourne
14920,2016,2016-07-10,R16,16,104,72,Away.Team,North Melbourne,R15,-32,L,Domain Stadium,3.27,N,West Coast
15074,2017,2017-05-25,R10,10,81,79,Away.Team,Port Adelaide,R9,-2,L,GMHBA Stadium,2.18,N,Geelong
15077,2017,2017-05-27,R10,10,122,87,Away.Team,Gold Coast,R9,-35,L,Traeger Park,3.1,N,Melbourne
15089,2017,2017-06-08,R12,12,88,42,Home.Team,Sydney,R11,46,W,SCG,1.74,Y,Western Bulldogs
15089,2017,2017-06-08,R12,12,88,42,Away.Team,Western Bulldogs,R11,-46,L,SCG,2.07,N,Sydney
15090,2017,2017-06-09,R12,12,111,54,Away.Team,St Kilda,R11,-57,L,Adelaide Oval,5.65,N,Adelaide
15092,2017,2017-06-10,R12,12,121,64,Home.Team,Brisbane Lions,R11,57,W,Gabba,2.31,N,Fremantle
15094,2017,2017-06-11,R12,12,71,70,Home.Team,Carlton,R11,1,W,Marvel Stadium,4.15,N,GWS
15095,2017,2017-06-12,R12,12,104,100,Home.Team,Melbourne,R11,4,W,MCG,1.57,Y,Collingwood
15096,2017,2017-06-15,R13,13,83,70,Home.Team,West Coast,R12,13,W,Domain Stadium,2.2,N,Geelong
15096,2017,2017-06-15,R13,13,83,70,Away.Team,Geelong,R12,-13,L,Domain Stadium,1.67,Y,West Coast
15097,2017,2017-06-16,R13,13,72,89,Home.Team,North Melbourne,R12,-17,L,Marvel Stadium,1.99,N,St Kilda
15098,2017,2017-06-17,R13,13,71,80,Home.Team,Richmond,R12,-9,L,MCG,1.95,N,Sydney
15102,2017,2017-06-22,R14,14,82,96,Home.Team,Adelaide,R13,-14,L,Adelaide Oval,1.08,Y,Hawthorn
15102,2017,2017-06-22,R14,14,82,96,Away.Team,Hawthorn,R13,14,W,Adelaide Oval,7.48,N,Adelaide
15103,2017,2017-06-23,R14,14,86,85,Away.Team,Essendon,R13,-1,L,SCG,3.07,N,Sydney
15104,2017,2017-06-24,R14,14,62,93,Home.Team,Collingwood,R13,-31,L,MCG,1.95,N,Port Adelaide
15105,2017,2017-06-24,R14,14,86,146,Away.Team,GWS,R13,60,W,Gabba,1.23,Y,Brisbane Lions
15108,2017,2017-06-25,R14,14,74,72,Away.Team,Fremantle,R13,-2,L,GMHBA Stadium,10.14,N,Geelong
15292,2018,2018-06-02,R11,11,64,61,Away.Team,Port Adelaide,R10,-3,L,UTAS Stadium,1.81,Y,Hawthorn
15293,2018,2018-06-02,R11,11,36,121,Home.Team,Gold Coast,R10,-85,L,Metricon Stadium,3.38,N,Geelong
15306,2018,2018-06-14,R13,13,132,75,Away.Team,Western Bulldogs,R12,-57,L,Adelaide Oval,6.94,N,Port Adelaide
15307,2018,2018-06-15,R13,13,72,57,Away.Team,West Coast,R12,-15,L,SCG,2.63,N,Sydney
15308,2018,2018-06-16,R13,13,46,103,Home.Team,Carlton,R12,-57,L,Marvel Stadium,2.09,N,Fremantle
15310,2018,2018-06-16,R13,13,88,32,Home.Team,Hawthorn,R12,56,W,MCG,1.41,Y,Adelaide
15312,2018,2018-06-21,R14,14,52,80,Away.Team,Essendon,R13,28,W,Optus Stadium,3.41,N,West Coast
15313,2018,2018-06-22,R14,14,75,65,Away.Team,Melbourne,R13,-10,L,Adelaide Oval,2.22,N,Port Adelaide
15315,2018,2018-06-23,R14,14,82,109,Home.Team,Brisbane Lions,R13,-27,L,Gabba,3.46,N,GWS
15315,2018,2018-06-23,R14,14,82,109,Away.Team,GWS,R13,27,W,Gabba,1.31,Y,Brisbane Lions
15316,2018,2018-06-23,R14,14,75,77,Away.Team,North Melbourne,R13,2,W,Marvel Stadium,1.26,Y,Western Bulldogs
15317,2018,2018-06-24,R14,14,79,59,Home.Team,Collingwood,R13,20,W,MCG,1.06,Y,Carlton
15318,2018,2018-06-28,R15,15,93,67,Home.Team,Richmond,R14,26,W,Marvel Stadium,1.53,Y,Sydney
15318,2018,2018-06-28,R15,15,93,67,Away.Team,Sydney,R14,-26,L,Marvel Stadium,2.5,N,Richmond
15319,2018,2018-06-29,R15,15,103,101,Away.Team,Geelong,R14,-2,L,Marvel Stadium,1.16,Y,Western Bulldogs
15321,2018,2018-06-30,R15,15,88,78,Home.Team,Adelaide,R14,10,W,Adelaide Oval,1.45,Y,West Coast
15324,2018,2018-07-01,R15,15,117,119,Away.Team,St Kilda,R14,2,W,MCG,6.27,N,Melbourne
15326,2018,2018-07-01,R15,15,64,119,Home.Team,Fremantle,R14,-55,L,Optus Stadium,1.28,Y,Brisbane Lions
15514,2019,2019-06-14,R13,13,96,77,Home.Team,Essendon,R12,19,W,Marvel Stadium,1.66,Y,Hawthorn
15514,2019,2019-06-14,R13,13,96,77,Away.Team,Hawthorn,R12,-19,L,Marvel Stadium,2.21,N,Essendon
15515,2019,2019-06-15,R13,13,76,80,Away.Team,St Kilda,R12,4,W,Riverway Stadium,1.54,Y,Gold Coast
15516,2019,2019-06-15,R13,13,100,79,Home.Team,Fremantle,R12,21,W,Optus Stadium,1.82,Y,Port Adelaide
15516,2019,2019-06-15,R13,13,100,79,Away.Team,Port Adelaide,R12,-21,L,Optus Stadium,1.98,N,Fremantle
15517,2019,2019-06-15,R13,13,100,103,Away.Team,Western Bulldogs,R12,3,W,Marvel Stadium,1.49,Y,Carlton
15519,2019,2019-06-20,R14,14,106,71,Home.Team,West Coast,R13,35,W,Optus Stadium,1.38,Y,Essendon
15520,2019,2019-06-21,R14,14,82,63,Home.Team,Sydney,R13,19,W,SCG,1.51,Y,Hawthorn
15521,2019,2019-06-22,R14,14,85,71,Home.Team,Melbourne,R13,14,W,MCG,1.57,Y,Fremantle
15522,2019,2019-06-22,R14,14,59,115,Away.Team,Brisbane Lions,R13,56,W,Marvel Stadium,1.7,Y,St Kilda
15523,2019,2019-06-22,R14,14,67,56,Away.Team,Geelong,R13,-11,L,Adelaide Oval,1.45,Y,Port Adelaide
15524,2019,2019-06-23,R14,14,73,82,Away.Team,Collingwood,R13,9,W,Marvel Stadium,1.29,Y,Western Bulldogs
15525,2019,2019-06-27,R15,15,77,71,Away.Team,GWS,R14,-6,L,Marvel Stadium,1.63,Y,Essendon
15526,2019,2019-06-28,R15,15,96,69,Away.Team,Adelaide,R14,-27,L,GMHBA Stadium,3.94,N,Geelong
15528,2019,2019-06-29,R15,15,93,51,Away.Team,Gold Coast,R14,-42,L,SCG,5.67,N,Sydney
15529,2019,2019-06-29,R15,15,37,81,Away.Team,North Melbourne,R14,44,W,Marvel Stadium,3.25,N,Collingwood
15531,2019,2019-06-30,R15,15,70,103,Away.Team,Richmond,R14,33,W,Marvel Stadium,1.33,Y,St Kilda
15533,2019,2019-06-30,R15,15,75,79,Away.Team,Carlton,R14,4,W,Optus Stadium,5.57,N,Fremantle
15645,2020,2020-06-27,R4,4,51,52,Home.Team,Essendon,R3,-1,L,MCG,1.71,Y,Carlton
15648,2020,2020-06-28,R4,4,44,47,Home.Team,Melbourne,R3,-3,L,MCG,2.53,N,Geelong
15704,2020,2020-08-09,R11,11,72,50,Home.Team,West Coast,R10,22,W,Optus Stadium,1.26,Y,Carlton
15704,2020,2020-08-09,R11,11,72,50,Away.Team,Carlton,R10,-22,L,Optus Stadium,3.88,N,West Coast
15707,2020,2020-08-10,R11,11,48,32,Home.Team,Fremantle,R10,16,W,Optus Stadium,2.1,N,Hawthorn
15707,2020,2020-08-10,R11,11,48,32,Away.Team,Hawthorn,R10,-16,L,Optus Stadium,1.72,Y,Fremantle
15710,2020,2020-08-13,R12,12,66,25,Home.Team,Sydney,R11,41,W,Optus Stadium,4.35,N,GWS
15710,2020,2020-08-13,R12,12,66,25,Away.Team,GWS,R11,-41,L,Optus Stadium,1.21,Y,Sydney
15736,2020,2020-09-01,R15,15,48,83,Away.Team,Adelaide,R14,35,W,Adelaide Oval,2.89,N,Hawthorn
15741,2020,2020-09-04,R15,15,42,34,Home.Team,Brisbane Lions,R14,8,W,Gabba,1.41,Y,Collingwood
15742,2020,2020-09-05,R16,16,42,78,Home.Team,North Melbourne,R15,-36,L,Metricon Stadium,6.49,N,Port Adelaide
15742,2020,2020-09-05,R16,16,42,78,Away.Team,Port Adelaide,R15,36,W,Metricon Stadium,1.11,Y,North Melbourne
15743,2020,2020-09-06,R16,16,80,66,Home.Team,St Kilda,R15,14,W,Metricon Stadium,1.27,Y,Hawthorn
15744,2020,2020-09-06,R16,16,108,42,Home.Team,Geelong,R15,66,W,Gabba,1.21,Y,Essendon
15745,2020,2020-09-06,R16,16,49,47,Home.Team,Western Bulldogs,R15,2,W,Metricon Stadium,1.72,N,West Coast
15749,2020,2020-09-09,R16,16,88,43,Away.Team,Gold Coast,R15,-45,L,Gabba,3.6,N,Brisbane Lions
15751,2020,2020-09-11,R17,17,31,57,Away.Team,Richmond,R16,26,W,Metricon Stadium,2.11,N,Geelong
15758,2020,2020-09-14,R17,17,68,46,Home.Team,Collingwood,R16,22,W,Gabba,1.23,Y,Gold Coast
15882,2021,2021-06-10,R13,13,91,112,Home.Team,Port Adelaide,R12,-21,L,Adelaide Oval,1.99,N,Geelong
15882,2021,2021-06-10,R13,13,91,112,Away.Team,Geelong,R12,21,W,Adelaide Oval,1.79,Y,Port Adelaide
15883,2021,2021-06-11,R13,13,51,89,Away.Team,Hawthorn,R12,38,W,SCG,4.91,N,Sydney
15884,2021,2021-06-12,R13,13,76,49,Away.Team,Gold Coast,R12,-27,L,Optus Stadium,1.95,N,Fremantle
15886,2021,2021-06-13,R13,13,94,94,Home.Team,North Melbourne,R12,0,D,Blundstone Arena,3.44,N,GWS
15886,2021,2021-06-13,R13,13,94,94,Away.Team,GWS,R12,0,D,Blundstone Arena,1.29,Y,North Melbourne
15889,2021,2021-06-18,R14,14,83,78,Away.Team,Western Bulldogs,R13,-5,L,GMHBA Stadium,2.43,N,Geelong
15891,2021,2021-06-19,R14,14,45,68,Away.Team,Brisbane Lions,R13,23,W,Blundstone Arena,1.14,Y,North Melbourne
15892,2021,2021-06-19,R14,14,102,66,Away.Team,Carlton,R13,-36,L,Giants Stadium,2.37,N,GWS
15893,2021,2021-06-20,R14,14,73,86,Away.Team,Essendon,R13,13,W,UTAS Stadium,1.57,Y,Hawthorn
15895,2021,2021-06-25,R15,15,22,62,Home.Team,Richmond,R14,-40,L,MCG,1.19,Y,St Kilda
15895,2021,2021-06-25,R15,15,22,62,Away.Team,St Kilda,R14,40,W,MCG,4.52,N,Richmond
15896,2021,2021-06-26,R15,15,79,91,Home.Team,Collingwood,R14,-12,L,Marvel Stadium,1.6,Y,Fremantle
15896,2021,2021-06-26,R15,15,79,91,Away.Team,Fremantle,R14,12,W,Marvel Stadium,2.31,N,Collingwood
15898,2021,2021-06-26,R15,15,81,71,Away.Team,Sydney,R14,-10,L,Adelaide Oval,3.01,N,Port Adelaide
15899,2021,2021-06-26,R15,15,57,68,Away.Team,Melbourne,R14,11,W,MCG,1.27,Y,Essendon
15901,2021,2021-06-27,R15,15,43,98,Home.Team,West Coast,R14,-55,L,Optus Stadium,1.71,Y,Western Bulldogs
15902,2021,2021-06-27,R15,15,83,73,Away.Team,Adelaide,R14,-10,L,Marvel Stadium,2.67,N,Carlton
16089,2022,2022-06-09,R13,13,77,65,Home.Team,Richmond,R12,12,W,MCG,1.49,Y,Port Adelaide
16089,2022,2022-06-09,R13,13,77,65,Away.Team,Port Adelaide,R12,-12,L,MCG,2.52,N,Richmond
16090,2022,2022-06-10,R13,13,54,80,Home.Team,Essendon,R12,-26,L,MCG,2.95,N,Carlton
16090,2022,2022-06-10,R13,13,54,80,Away.Team,Carlton,R12,26,W,MCG,1.37,Y,Essendon
16092,2022,2022-06-11,R13,13,78,57,Away.Team,St Kilda,R12,-21,L,Gabba,3.5,N,Brisbane Lions
16093,2022,2022-06-12,R13,13,53,102,Away.Team,GWS,R12,49,W,Marvel Stadium,1.15,Y,North Melbourne
16097,2022,2022-06-18,R14,14,82,59,Away.Team,Sydney,R13,-23,L,Adelaide Oval,1.64,Y,Port Adelaide
16098,2022,2022-06-18,R14,14,63,81,Home.Team,West Coast,R13,-18,L,Optus Stadium,7.7,N,Geelong
16098,2022,2022-06-18,R14,14,63,81,Away.Team,Geelong,R13,18,W,Optus Stadium,1.08,Y,West Coast
16099,2022,2022-06-18,R14,14,105,125,Away.Team,Western Bulldogs,R13,20,W,Giants Stadium,1.58,Y,GWS
16100,2022,2022-06-19,R14,14,116,73,Home.Team,Gold Coast,R13,43,W,Metricon Stadium,1.24,Y,Adelaide
16100,2022,2022-06-19,R14,14,116,73,Away.Team,Adelaide,R13,-43,L,Metricon Stadium,3.86,N,Gold Coast
16101,2022,2022-06-23,R15,15,117,53,Home.Team,Melbourne,R14,64,W,MCG,1.56,Y,Brisbane Lions
16101,2022,2022-06-23,R15,15,117,53,Away.Team,Brisbane Lions,R14,-64,L,MCG,2.35,N,Melbourne
16102,2022,2022-06-24,R15,15,125,83,Away.Team,Hawthorn,R14,-42,L,Marvel Stadium,3.44,N,Western Bulldogs
16104,2022,2022-06-25,R15,15,81,50,Away.Team,Fremantle,R14,-31,L,Marvel Stadium,1.67,Y,Carlton
16107,2022,2022-06-26,R15,15,58,115,Home.Team,North Melbourne,R14,-57,L,Blundstone Arena,3.09,N,Adelaide
16108,2022,2022-06-26,R15,15,88,77,Home.Team,Collingwood,R14,11,W,MCG,1.42,Y,GWS
16297,2023,2023-06-08,R13,13,66,80,Home.Team,Sydney,R12,-14,L,SCG,1.55,Y,St Kilda
16297,2023,2023-06-08,R13,13,66,80,Away.Team,St Kilda,R12,14,W,SCG,2.36,N,Sydney
16299,2023,2023-06-10,R13,13,98,73,Away.Team,Brisbane Lions,R12,-25,L,MCG,1.25,Y,Hawthorn
16301,2023,2023-06-10,R13,13,70,85,Home.Team,Fremantle,R12,-15,L,Optus Stadium,1.63,Y,Richmond
16305,2023,2023-06-15,R14,14,110,72,Away.Team,Geelong,R13,-38,L,Adelaide Oval,2.34,N,Port Adelaide
16309,2023,2023-06-18,R14,14,120,61,Away.Team,Gold Coast,R13,-59,L,MCG,2.21,N,Carlton
16311,2023,2023-06-22,R15,15,78,63,Away.Team,Melbourne,R14,-15,L,GMHBA Stadium,1.99,N,Geelong
16313,2023,2023-06-24,R15,15,205,34,Away.Team,West Coast,R14,-171,L,SCG,12.23,N,Sydney
16314,2023,2023-06-24,R15,15,93,61,Away.Team,Essendon,R14,-32,L,Optus Stadium,2.16,N,Fremantle
16315,2023,2023-06-25,R15,15,82,80,Home.Team,Collingwood,R14,2,W,MCG,1.35,Y,Adelaide
16315,2023,2023-06-25,R15,15,82,80,Away.Team,Adelaide,R14,-2,L,MCG,3.13,N,Collingwood
16316,2023,2023-06-25,R15,15,101,34,Away.Team,Hawthorn,R14,-67,L,Metricon Stadium,3.61,N,Gold Coast
